               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048586,           0.0098805,            0.040023,             0.29915,              0.5711,             0.52613,             0.25265,            0.048362,            0.006484,            0.040878,             0.09604,               4e-05,               4e-05
                   1,            0.047013,            0.010431,            0.036401,             0.24964,              0.6184,             0.43714,             0.19965,            0.046723,           0.0057793,            0.045647,             0.09109,          8.9995e-05,          8.9995e-05
                   2,            0.037175,            0.010749,            0.038864,             0.36397,              0.4978,             0.47636,             0.19439,            0.049566,           0.0062008,            0.042717,             0.08614,          0.00013997,          0.00013997
                   3,            0.038606,            0.010405,            0.037831,              0.4059,             0.46577,             0.51009,             0.19953,            0.056152,           0.0051813,            0.042397,             0.08119,           0.0001899,           0.0001899
                   4,            0.036779,           0.0099224,            0.037413,             0.39527,             0.44518,             0.54092,             0.24882,            0.046109,           0.0060806,            0.043289,             0.07624,          0.00023977,          0.00023977
                   5,            0.039224,           0.0085567,            0.037144,             0.47578,             0.45999,             0.48383,             0.21406,            0.056326,           0.0057888,            0.041023,             0.07129,          0.00028956,          0.00028956
                   6,            0.037277,           0.0083684,            0.034795,             0.26743,             0.78588,             0.47026,             0.23436,            0.042406,           0.0054855,            0.046677,            0.066339,          0.00033925,          0.00033925
                   7,            0.035702,           0.0094379,            0.034342,             0.27745,             0.83825,             0.49388,             0.21912,            0.050619,           0.0046835,            0.048927,            0.061389,          0.00038883,          0.00038883
                   8,            0.034149,           0.0085692,             0.03422,             0.36489,             0.90909,             0.56318,             0.22781,            0.053339,           0.0050468,             0.03643,            0.056438,          0.00043828,          0.00043828
                   9,            0.032842,           0.0084001,            0.033555,             0.36179,             0.78961,             0.44348,             0.15842,              0.0562,           0.0047512,            0.038498,            0.051488,          0.00048758,          0.00048758
                  10,            0.032328,            0.007773,            0.034585,             0.36864,             0.96215,             0.56842,             0.23301,            0.043826,           0.0047789,            0.036964,            0.046537,          0.00053671,          0.00053671
                  11,            0.029831,           0.0082637,            0.032665,             0.37989,             0.92727,             0.59978,              0.2318,            0.047805,            0.005249,             0.03569,            0.041586,          0.00058565,          0.00058565
                  12,            0.029883,           0.0087125,            0.033621,             0.37223,             0.90327,             0.60238,             0.31814,              0.0391,           0.0047445,            0.035179,            0.036634,          0.00063439,          0.00063439
                  13,            0.029992,           0.0068512,            0.032823,              0.4984,             0.94545,              0.6148,             0.27274,            0.043783,           0.0044575,            0.032127,            0.031683,           0.0006829,           0.0006829
                  14,            0.031334,           0.0079174,            0.032558,             0.50262,             0.95325,             0.65019,             0.34321,            0.037365,           0.0042152,            0.030502,            0.026731,          0.00073118,          0.00073118
                  15,             0.02878,           0.0076158,            0.031626,             0.46975,             0.95315,             0.61275,             0.34826,            0.032333,           0.0044603,            0.031303,            0.021779,           0.0007792,           0.0007792
