               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10986,            0.023997,            0.057835,                   0,                   0,                   0,                   0,            0.068074,            0.014767,            0.038591,             0.09703,               3e-05,               3e-05
                   1,            0.090341,            0.023918,            0.052767,                   0,                   0,                   0,                   0,            0.049945,            0.012436,            0.036647,             0.09307,          6.9996e-05,          6.9996e-05
                   2,            0.068277,            0.022938,            0.047708,          8.4796e-05,            0.060606,          6.5759e-05,          1.4096e-05,              0.0559,            0.010745,            0.033998,             0.08911,          0.00010997,          0.00010997
                   3,            0.070563,            0.027427,            0.050011,          5.5556e-05,            0.045455,          4.6386e-05,          1.9609e-05,            0.054508,            0.011112,            0.034094,             0.08515,          0.00014992,          0.00014992
                   4,            0.065996,            0.028521,            0.052628,          3.7037e-05,            0.030303,          2.6428e-05,          4.1238e-06,            0.055662,            0.011933,            0.034308,             0.08119,          0.00018981,          0.00018981
                   5,            0.068494,            0.029135,            0.048096,          5.5556e-05,            0.045455,          0.00014925,          2.7479e-05,            0.053453,            0.014259,            0.034489,             0.07723,          0.00022965,          0.00022965
                   6,             0.06221,            0.024533,            0.048816,           0.0002037,             0.16667,          0.00032339,          7.6639e-05,            0.050354,            0.015383,            0.034468,            0.073269,          0.00026941,          0.00026941
                   7,            0.062645,            0.025599,            0.048167,          0.00018519,             0.15152,          0.00034875,          9.7524e-05,            0.048114,            0.017256,            0.034265,            0.069309,          0.00030907,          0.00030907
                   8,            0.055503,            0.033111,            0.047782,           0.0002037,             0.16667,           0.0015284,          0.00040077,            0.044539,             0.02096,            0.034009,            0.065349,          0.00034863,          0.00034863
                   9,            0.053182,            0.028622,              0.0466,          0.00020391,             0.16667,            0.026968,           0.0070443,             0.04526,            0.023072,            0.033806,            0.061388,          0.00038807,          0.00038807
                  10,            0.059895,            0.025524,            0.047957,            0.020289,             0.35859,              0.1003,            0.023758,            0.040618,            0.024109,              0.0334,            0.057427,          0.00042738,          0.00042738
                  11,             0.05855,            0.024166,            0.049292,           0.0088829,             0.44444,            0.067004,            0.015898,              0.0392,             0.02501,             0.03325,            0.053467,          0.00046654,          0.00046654
                  12,            0.054638,            0.020595,            0.047489,            0.051927,             0.62121,             0.18465,            0.043422,            0.044193,            0.019876,            0.033357,            0.049506,          0.00050553,          0.00050553
                  13,            0.050254,            0.027059,            0.048452,            0.067707,             0.98485,             0.39763,             0.12499,            0.038472,            0.016544,            0.032951,            0.045544,          0.00054434,          0.00054434
                  14,            0.051289,            0.022033,            0.048456,            0.014604,             0.91667,             0.36644,            0.094529,            0.042891,             0.01421,            0.032524,            0.041583,          0.00058297,          0.00058297
                  15,            0.047879,            0.022542,            0.048208,            0.058157,             0.60663,             0.24364,            0.053537,            0.046518,            0.011244,             0.03215,            0.037621,          0.00062138,          0.00062138
                  16,            0.049971,            0.022627,            0.047687,             0.57386,             0.37525,             0.23936,            0.052363,            0.039767,           0.0091457,            0.032043,             0.03366,          0.00065958,          0.00065958
                  17,            0.050768,            0.018997,            0.049038,             0.59246,             0.47471,             0.43383,             0.19859,            0.038427,           0.0071266,            0.032172,            0.029698,          0.00069754,          0.00069754
                  18,            0.050156,            0.018036,            0.047321,             0.59054,              0.4697,             0.46095,             0.21222,            0.039175,           0.0064933,            0.032075,            0.025735,          0.00073526,          0.00073526
                  19,            0.049716,            0.017886,             0.04866,             0.45437,             0.45909,             0.15724,            0.045139,            0.043787,           0.0063114,            0.030933,            0.021773,          0.00077271,          0.00077271
                  20,            0.048519,            0.015061,            0.047143,             0.56487,             0.37082,             0.20846,            0.058883,            0.045009,           0.0059881,            0.033261,             0.01781,          0.00080989,          0.00080989
                  21,            0.049217,            0.015395,            0.047256,             0.42053,             0.34343,              0.2199,            0.051787,            0.046042,           0.0053537,            0.033325,            0.013847,          0.00084678,          0.00084678
                  22,             0.04968,            0.014133,            0.048637,             0.44952,             0.54963,             0.38747,             0.11942,            0.045741,           0.0054243,            0.031873,           0.0098834,          0.00088337,          0.00088337
                  23,            0.046922,            0.016378,            0.046668,             0.40456,             0.46868,             0.24032,            0.068517,            0.035779,           0.0093739,             0.03152,           0.0059196,          0.00091964,          0.00091964
                  24,            0.045999,            0.015347,             0.04541,             0.58724,             0.42424,             0.36386,             0.12741,            0.029935,           0.0084975,            0.031915,           0.0019556,          0.00095559,          0.00095559
                  25,             0.04229,            0.014105,            0.044925,             0.59099,              0.4697,             0.43512,             0.16114,            0.033154,           0.0089462,             0.03215,          0.00096232,          0.00096232,          0.00096232
                  26,            0.047248,            0.013342,            0.047118,             0.57775,             0.33333,             0.51059,             0.23725,            0.031658,            0.013013,            0.032022,          0.00096232,          0.00096232,          0.00096232
                  27,             0.03916,            0.014495,            0.043533,             0.58172,             0.47222,             0.49339,             0.19349,            0.035554,            0.014704,            0.031435,          0.00095929,          0.00095929,          0.00095929
                  28,            0.043646,            0.014189,             0.04401,             0.61691,             0.45152,             0.51568,             0.17305,            0.032467,           0.0098548,            0.031029,          0.00095614,          0.00095614,          0.00095614
                  29,            0.043258,            0.015402,            0.040765,             0.63515,             0.36364,             0.40105,             0.15631,            0.030688,           0.0070391,            0.031435,          0.00095289,          0.00095289,          0.00095289
                  30,            0.046059,            0.015679,            0.042249,             0.64833,             0.42419,             0.54813,             0.18938,            0.032013,            0.007036,            0.029448,          0.00094952,          0.00094952,          0.00094952
                  31,             0.04294,            0.013825,            0.044158,             0.68064,             0.39091,             0.37144,             0.10137,            0.034061,           0.0064886,            0.029405,          0.00094605,          0.00094605,          0.00094605
                  32,            0.044623,            0.014698,            0.041935,             0.71179,             0.36263,             0.37786,             0.14016,            0.038492,           0.0054154,            0.026863,          0.00094246,          0.00094246,          0.00094246
                  33,            0.041745,            0.014108,             0.04128,             0.93373,             0.13636,             0.27944,            0.074485,            0.050324,           0.0055909,            0.028166,          0.00093877,          0.00093877,          0.00093877
                  34,            0.044214,            0.014182,            0.039936,             0.58461,             0.36441,             0.32978,             0.13191,            0.033937,           0.0064533,             0.02979,          0.00093497,          0.00093497,          0.00093497
                  35,            0.039704,            0.012768,            0.036715,             0.01182,             0.78788,              0.2072,             0.09633,            0.038179,            0.008811,            0.041827,          0.00093107,          0.00093107,          0.00093107
                  36,              0.0448,            0.014252,            0.040478,             0.18995,             0.71212,             0.25898,             0.11795,            0.038748,           0.0075076,            0.040823,          0.00092706,          0.00092706,          0.00092706
                  37,            0.042773,            0.013656,            0.039146,             0.35671,             0.47222,             0.31053,             0.15791,            0.034536,           0.0077295,            0.041656,          0.00092294,          0.00092294,          0.00092294
                  38,            0.042605,            0.012326,            0.039074,             0.34952,             0.46667,             0.36276,             0.17581,            0.033164,           0.0076489,            0.042105,          0.00091872,          0.00091872,          0.00091872
                  39,             0.04291,            0.014861,            0.037606,             0.31217,                 0.5,             0.29686,             0.11917,            0.030537,            0.008539,            0.041977,           0.0009144,           0.0009144,           0.0009144
                  40,            0.042804,            0.014613,            0.039001,             0.72765,                 0.5,              0.3459,             0.14311,            0.028722,            0.010154,            0.040482,          0.00090998,          0.00090998,          0.00090998
                  41,            0.047237,            0.014424,            0.037922,             0.70919,             0.46667,             0.39491,             0.22102,            0.030178,           0.0081251,            0.039467,          0.00090546,          0.00090546,          0.00090546
                  42,            0.040066,            0.012895,            0.037297,             0.75039,                 0.5,             0.43696,             0.23034,            0.028166,           0.0066423,            0.039563,          0.00090084,          0.00090084,          0.00090084
                  43,            0.043434,            0.014043,            0.035844,              0.7043,                 0.5,             0.58954,             0.30296,            0.028833,           0.0064676,            0.037779,          0.00089613,          0.00089613,          0.00089613
                  44,            0.038248,            0.012599,            0.030779,             0.67132,             0.53761,             0.56764,             0.20243,             0.03014,           0.0060451,            0.033005,          0.00089131,          0.00089131,          0.00089131
                  45,            0.040192,            0.012658,            0.034254,             0.26453,             0.63876,             0.39363,             0.12287,             0.03267,           0.0067523,            0.034479,           0.0008864,           0.0008864,           0.0008864
                  46,            0.039668,            0.012097,            0.031616,             0.35705,             0.54611,             0.44139,             0.15516,            0.033853,           0.0071316,            0.043056,           0.0008814,           0.0008814,           0.0008814
                  47,            0.042972,            0.012361,            0.035616,             0.34969,             0.52778,             0.43315,              0.1879,            0.033883,           0.0068965,            0.046228,           0.0008763,           0.0008763,           0.0008763
                  48,            0.038722,            0.011817,            0.034278,             0.35274,              0.6637,             0.47413,             0.15516,            0.034354,           0.0059197,            0.041026,          0.00087112,          0.00087112,          0.00087112
                  49,            0.043206,            0.013863,            0.034072,             0.83228,             0.48485,             0.65568,               0.234,            0.031922,           0.0052657,            0.021069,          0.00086584,          0.00086584,          0.00086584
                  50,            0.039378,            0.012663,            0.037259,             0.55847,             0.62374,             0.68513,             0.25622,            0.031801,           0.0058458,            0.019958,          0.00086047,          0.00086047,          0.00086047
                  51,            0.038296,             0.01375,            0.031838,             0.42781,             0.98485,             0.68664,             0.31679,            0.028052,           0.0056584,            0.024225,          0.00085502,          0.00085502,          0.00085502
                  52,            0.039077,            0.013265,            0.031943,             0.32645,             0.89231,              0.6931,             0.34295,            0.028144,           0.0057838,            0.035056,          0.00084948,          0.00084948,          0.00084948
                  53,            0.036649,            0.011053,            0.031489,             0.35418,             0.80439,             0.60626,             0.26364,            0.030838,           0.0054414,            0.034756,          0.00084385,          0.00084385,          0.00084385
                  54,            0.043033,            0.011839,            0.031574,             0.50441,             0.75403,             0.60482,             0.24504,            0.032269,           0.0051672,            0.028059,          0.00083814,          0.00083814,          0.00083814
                  55,            0.037961,            0.010736,            0.030158,             0.43024,             0.93636,             0.57486,             0.18253,            0.034691,           0.0051215,            0.023338,          0.00083235,          0.00083235,          0.00083235
                  56,            0.040923,            0.012237,            0.030727,             0.49484,             0.68707,              0.6076,             0.11987,            0.039696,           0.0051403,            0.021021,          0.00082648,          0.00082648,          0.00082648
                  57,            0.041016,            0.012524,            0.029743,             0.42763,             0.83708,             0.70368,             0.25954,            0.031633,           0.0054066,             0.01984,          0.00082052,          0.00082052,          0.00082052
                  58,            0.040249,            0.012523,            0.030986,             0.37742,             0.89095,             0.74837,             0.28543,            0.028049,           0.0052969,             0.02274,           0.0008145,           0.0008145,           0.0008145
                  59,             0.03994,            0.012844,            0.028834,             0.40148,             0.76667,             0.62877,             0.19607,             0.03229,           0.0051475,            0.022227,          0.00080839,          0.00080839,          0.00080839
                  60,            0.038622,            0.013005,            0.026158,             0.41133,             0.81818,             0.61719,             0.20355,             0.03259,           0.0051291,            0.018655,          0.00080221,          0.00080221,          0.00080221
