               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093419,            0.026043,            0.064769,                   0,                   0,                   0,                   0,            0.056439,           0.0098958,            0.042272,             0.09109,               9e-05,               9e-05
                   1,             0.07562,            0.025026,            0.060007,                   0,                   0,                   0,                   0,            0.058206,           0.0099754,            0.041911,             0.08119,          0.00018999,          0.00018999
                   2,             0.06777,            0.025321,            0.060704,           0.0076514,             0.20985,            0.010103,           0.0021293,            0.054329,             0.01181,            0.041315,             0.07129,          0.00028993,          0.00028993
                   3,            0.060929,            0.025926,            0.060999,            0.006864,             0.75587,             0.13944,            0.027058,            0.045797,            0.010597,            0.039948,             0.06139,          0.00038979,          0.00038979
                   4,            0.058554,            0.025479,            0.059105,           0.0055374,             0.78597,            0.065043,            0.011963,            0.043366,           0.0098629,            0.039838,             0.05149,          0.00048952,          0.00048952
                   5,            0.050826,            0.025226,            0.056298,             0.23979,             0.49322,             0.14095,            0.045021,            0.035845,           0.0094323,            0.039175,            0.041589,           0.0005891,           0.0005891
                   6,            0.050892,            0.021739,            0.057671,             0.42711,              0.4281,             0.19662,            0.085393,            0.031663,           0.0093101,            0.038647,            0.031688,          0.00068848,          0.00068848
                   7,             0.04866,            0.023884,             0.05667,             0.23975,             0.40689,              0.1362,            0.050738,            0.036537,           0.0098517,            0.038428,            0.021788,          0.00078764,          0.00078764
                   8,             0.04607,            0.018918,            0.055171,              0.4474,             0.45107,             0.26151,             0.10365,            0.030934,            0.010702,            0.038252,            0.011887,          0.00088653,          0.00088653
                   9,            0.045864,            0.018454,            0.058276,             0.45287,              0.4584,             0.15388,            0.057768,            0.031983,            0.014208,            0.038815,           0.0019851,          0.00098511,          0.00098511
                  10,            0.044724,            0.017481,             0.05751,             0.44361,             0.48946,             0.19869,             0.10694,             0.03391,            0.010877,            0.039788,          0.00099391,          0.00099391,          0.00099391
                  11,            0.041978,            0.019485,            0.055371,             0.35288,             0.47355,             0.22626,            0.059144,            0.036954,           0.0088918,            0.039318,          0.00099391,          0.00099391,          0.00099391
                  12,            0.041888,             0.01733,            0.056475,             0.32935,             0.44022,               0.214,            0.083641,            0.033544,           0.0079218,            0.038059,          0.00099263,          0.00099263,          0.00099263
                  13,            0.038719,            0.016184,            0.052918,              0.6243,             0.44022,             0.25943,             0.10275,            0.035187,            0.011231,            0.038118,          0.00099123,          0.00099123,          0.00099123
                  14,            0.039648,            0.015647,            0.052009,             0.60528,             0.48037,             0.35234,             0.16781,            0.028457,           0.0093647,            0.036385,          0.00098972,          0.00098972,          0.00098972
                  15,            0.040415,            0.014952,            0.053654,             0.46421,             0.57886,             0.34808,             0.18022,            0.032295,           0.0090289,            0.035894,          0.00098808,          0.00098808,          0.00098808
                  16,             0.03937,            0.014404,             0.05424,             0.31296,             0.66977,             0.28679,             0.11855,            0.029875,           0.0096302,            0.035986,          0.00098632,          0.00098632,          0.00098632
                  17,            0.038508,            0.015438,            0.050605,             0.56733,             0.47886,             0.41353,             0.16149,            0.025633,           0.0072665,            0.036297,          0.00098445,          0.00098445,          0.00098445
                  18,            0.039079,            0.015841,            0.050886,             0.40758,             0.63639,             0.37849,             0.16426,            0.030755,           0.0053053,            0.035432,          0.00098246,          0.00098246,          0.00098246
