               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10615,            0.027272,            0.065892,                   0,                   0,                   0,                   0,            0.053073,            0.018043,             0.04317,             0.09604,               4e-05,               4e-05
                   1,            0.078701,            0.027927,            0.063988,          9.4724e-05,            0.015873,          5.5254e-05,          2.2102e-05,            0.052194,            0.013216,            0.041609,             0.09109,          8.9995e-05,          8.9995e-05
                   2,            0.071471,            0.027161,             0.06296,          0.00078247,            0.031746,           0.0016568,          0.00099409,            0.044982,            0.014548,            0.040955,             0.08614,          0.00013997,          0.00013997
                   3,            0.065281,            0.027817,             0.05984,           0.0028476,             0.44444,            0.011844,           0.0046734,            0.041801,            0.014675,            0.041089,             0.08119,           0.0001899,           0.0001899
                   4,             0.06061,            0.029991,            0.059762,           0.0077688,             0.56481,            0.018412,           0.0076748,            0.039577,            0.014702,            0.041492,             0.07624,          0.00023977,          0.00023977
                   5,            0.053892,            0.024905,            0.060882,            0.001962,              0.4545,            0.090017,            0.014963,            0.040989,            0.013783,            0.041861,             0.07129,          0.00028956,          0.00028956
                   6,            0.051422,            0.028047,            0.060474,           0.0095581,             0.66667,            0.070925,             0.01518,            0.037719,            0.014717,            0.041441,            0.066339,          0.00033925,          0.00033925
                   7,            0.051181,            0.028237,            0.059324,            0.024052,                   1,             0.17019,            0.049616,            0.033453,            0.013424,            0.040451,            0.061389,          0.00038883,          0.00038883
                   8,            0.046895,            0.025614,            0.058102,             0.01032,                   1,             0.27481,              0.1131,            0.033414,            0.012463,            0.039931,            0.056438,          0.00043828,          0.00043828
                   9,             0.04913,            0.024913,            0.058188,           0.0076188,                   1,              0.2816,            0.065258,            0.037589,            0.012032,            0.039293,            0.051488,          0.00048758,          0.00048758
                  10,            0.046332,            0.020395,            0.057506,           0.0086128,                   1,             0.29117,             0.12144,            0.032915,            0.011749,            0.039024,            0.046537,          0.00053671,          0.00053671
