               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06297,            0.016379,            0.047713,            0.078836,             0.25534,             0.10605,            0.034811,            0.075345,            0.012539,            0.051622,             0.07426,             0.00026,             0.00026
                   1,            0.051269,            0.014543,            0.042473,              0.1097,             0.79176,             0.18412,            0.071498,            0.048842,            0.010643,            0.049292,             0.04753,          0.00052997,          0.00052997
                   2,            0.047018,            0.013457,            0.041839,             0.12058,             0.42118,             0.15645,            0.066558,            0.052101,            0.007489,            0.051102,              0.0208,           0.0007998,           0.0007998
                   3,            0.046778,            0.012868,            0.039782,            0.095027,             0.26588,            0.087985,            0.028996,            0.062108,            0.014678,            0.052708,          0.00099945,          0.00099945,          0.00099945
                   4,            0.047088,            0.012162,            0.037887,             0.19732,             0.53529,             0.25817,            0.099361,            0.046988,            0.008067,            0.040953,          0.00099945,          0.00099945,          0.00099945
                   5,            0.044837,            0.011953,            0.036768,             0.20865,             0.54095,             0.32227,             0.12048,            0.043865,            0.010239,             0.04488,          0.00099902,          0.00099902,          0.00099902
                   6,            0.043589,            0.012149,            0.034434,             0.24088,             0.39446,             0.29418,             0.10613,            0.046133,           0.0090435,            0.043877,          0.00099847,          0.00099847,          0.00099847
                   7,            0.042411,            0.011815,            0.032352,             0.35434,              0.3649,             0.29619,            0.081176,            0.060171,           0.0068793,            0.047598,           0.0009978,           0.0009978,           0.0009978
                   8,            0.044311,            0.011648,            0.031659,             0.19229,             0.48824,             0.23841,            0.082788,            0.051374,           0.0058517,            0.048486,          0.00099701,          0.00099701,          0.00099701
                   9,            0.043939,            0.011929,            0.027761,             0.28392,             0.40053,             0.39071,             0.17582,            0.039806,           0.0062604,            0.050286,           0.0009961,           0.0009961,           0.0009961
                  10,            0.042697,            0.011793,            0.027168,              0.2259,             0.64941,             0.42537,             0.14134,            0.038926,           0.0065463,            0.043839,          0.00099506,          0.00099506,          0.00099506
                  11,            0.041636,            0.011069,             0.02511,             0.27538,             0.63205,             0.26815,             0.10828,            0.051384,           0.0071959,            0.053236,          0.00099391,          0.00099391,          0.00099391
                  12,            0.042619,             0.01194,            0.024457,             0.26798,             0.49132,             0.32641,              0.1231,            0.049567,           0.0066564,            0.059219,          0.00099263,          0.00099263,          0.00099263
                  13,            0.042169,             0.01168,            0.023114,             0.26967,             0.60706,             0.36192,             0.12624,            0.050986,           0.0066087,            0.050318,          0.00099123,          0.00099123,          0.00099123
                  14,            0.040845,            0.011825,            0.021434,             0.24173,             0.46118,              0.3226,            0.091981,            0.054767,           0.0066812,            0.064301,          0.00098972,          0.00098972,          0.00098972
                  15,            0.040794,            0.011171,            0.022292,             0.22005,             0.46045,             0.34102,             0.10787,             0.05736,           0.0056968,            0.053635,          0.00098808,          0.00098808,          0.00098808
                  16,            0.040247,            0.011417,            0.021545,             0.37817,             0.59319,             0.41965,             0.22491,            0.039007,           0.0057709,            0.054051,          0.00098632,          0.00098632,          0.00098632
