               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10448,             0.02945,            0.051308,          0.00032086,                0.15,            0.000769,            7.69e-05,            0.087765,            0.019022,            0.052673,             0.09802,               2e-05,               2e-05
                   1,            0.083979,            0.025016,            0.050088,           9.298e-05,                 0.1,          0.00016453,          6.5814e-05,            0.073232,            0.016541,             0.05304,             0.09505,          4.9997e-05,          4.9997e-05
                   2,            0.088942,            0.023897,            0.048687,          0.00083112,                 0.3,           0.0011557,          0.00014294,            0.073236,            0.014383,            0.057022,             0.09208,           7.998e-05,           7.998e-05
                   3,            0.074897,            0.031492,            0.047268,          8.7032e-05,                 0.2,          0.00013249,          3.1309e-05,            0.063451,            0.017159,             0.05806,             0.08911,          0.00010994,          0.00010994
                   4,            0.071506,            0.027919,            0.049237,          0.00084746,                0.05,          0.00060364,          6.0364e-05,            0.068894,            0.017338,            0.060196,             0.08614,          0.00013986,          0.00013986
                   5,            0.066505,            0.024993,            0.048395,          4.3592e-05,                 0.1,          0.00017183,          6.8732e-05,            0.064764,             0.01844,            0.061249,             0.08317,          0.00016974,          0.00016974
                   6,             0.06341,            0.027215,            0.047873,           0.0010597,                0.32,           0.0040878,          0.00086304,            0.070072,            0.015877,            0.058884,              0.0802,          0.00019956,          0.00019956
                   7,            0.056653,            0.036091,            0.047456,           0.0075956,             0.66667,             0.06662,            0.013422,            0.059309,            0.016926,            0.057312,            0.077229,          0.00022931,          0.00022931
                   8,            0.054089,            0.030847,            0.047656,           0.0036598,             0.76667,            0.018213,           0.0027294,            0.060237,            0.016956,            0.056671,            0.074259,          0.00025899,          0.00025899
                   9,            0.051599,            0.025121,            0.047041,           0.0034696,             0.61667,            0.058962,            0.017856,            0.060428,            0.016922,            0.056671,            0.071289,          0.00028857,          0.00028857
                  10,            0.055951,            0.028818,            0.046844,           0.0049421,                   1,             0.24965,            0.073589,            0.051605,            0.018955,            0.054733,            0.068318,          0.00031805,          0.00031805
                  11,            0.055167,            0.023764,            0.048216,           0.0047906,                   1,             0.36693,             0.14923,            0.051915,            0.018734,            0.052979,            0.065347,          0.00034742,          0.00034742
                  12,            0.052851,            0.024997,            0.048188,           0.0046443,                   1,             0.21314,            0.037309,            0.055609,            0.017685,            0.053055,            0.062377,          0.00037667,          0.00037667
                  13,            0.047187,            0.029832,            0.047583,           0.0045367,                   1,             0.23563,            0.064157,            0.061094,            0.018106,            0.053848,            0.059406,          0.00040578,          0.00040578
                  14,            0.046289,            0.026189,            0.048493,           0.0040334,                   1,             0.17017,            0.048774,            0.056314,            0.020626,            0.053879,            0.056435,          0.00043475,          0.00043475
