               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11869,            0.026355,            0.052595,                   0,                   0,                   0,                   0,              0.1135,            0.017918,            0.052734,             0.09802,               2e-05,               2e-05
                   1,             0.10096,             0.02199,            0.049275,                   0,                   0,                   0,                   0,             0.11173,            0.010618,            0.052475,             0.09505,          4.9997e-05,          4.9997e-05
                   2,            0.098018,            0.020078,              0.0492,          0.00012523,                0.05,           0.0082143,           0.0016429,             0.10438,            0.010565,            0.053482,             0.09208,           7.998e-05,           7.998e-05
                   3,             0.08796,              0.0254,            0.048037,          5.7078e-05,                0.05,           0.0011612,          0.00023224,             0.10012,            0.011424,            0.054413,             0.08911,          0.00010994,          0.00010994
                   4,            0.078425,             0.02362,            0.047975,                   0,                   0,                   0,                   0,            0.095631,            0.012352,            0.055008,             0.08614,          0.00013986,          0.00013986
                   5,            0.073367,            0.024873,             0.04757,                   0,                   0,                   0,                   0,            0.088485,            0.013193,            0.053726,             0.08317,          0.00016974,          0.00016974
                   6,            0.067609,             0.02473,            0.046815,          0.00012217,                 0.1,          0.00016322,          1.6322e-05,            0.093466,            0.012493,            0.053406,              0.0802,          0.00019956,          0.00019956
                   7,            0.062472,            0.032744,            0.048591,           0.0084606,             0.30667,            0.043266,           0.0086712,            0.096272,            0.011317,            0.052841,            0.077229,          0.00022931,          0.00022931
                   8,            0.057499,            0.033247,            0.048202,           0.0044642,                0.56,            0.045617,           0.0094437,            0.093673,            0.011137,            0.052216,            0.074259,          0.00025899,          0.00025899
                   9,            0.057445,            0.026818,            0.048016,            0.011714,             0.89333,            0.082673,            0.024012,            0.097141,            0.010104,            0.051544,            0.071289,          0.00028857,          0.00028857
                  10,            0.055757,            0.028004,            0.047832,           0.0084149,                   1,             0.24304,             0.10801,            0.091079,            0.010497,            0.050537,            0.068318,          0.00031805,          0.00031805
                  11,            0.048074,            0.027064,            0.047614,           0.0083711,                   1,             0.30267,             0.12318,             0.08757,            0.010696,            0.049988,            0.065347,          0.00034742,          0.00034742
                  12,            0.050379,            0.029043,             0.04752,           0.0060611,             0.93333,             0.30377,             0.12499,            0.083662,            0.010506,            0.049347,            0.062377,          0.00037667,          0.00037667
                  13,            0.048423,             0.02962,            0.047401,            0.004024,                   1,             0.34752,             0.11738,            0.081926,            0.010558,            0.049103,            0.059406,          0.00040578,          0.00040578
                  14,            0.046678,            0.027364,            0.047154,             0.00342,                   1,             0.31963,             0.10871,             0.07435,            0.010666,            0.049225,            0.056435,          0.00043475,          0.00043475
                  15,            0.045961,            0.028397,             0.04693,           0.0033711,                   1,             0.35495,             0.12126,            0.080826,           0.0094156,            0.049362,            0.053464,          0.00046357,          0.00046357
                  16,             0.04665,            0.025124,            0.047704,           0.0033765,                   1,             0.30837,             0.14556,             0.06822,            0.010332,             0.04953,            0.050492,          0.00049222,          0.00049222
                  17,            0.045225,            0.022385,            0.047953,           0.0034219,                   1,              0.3912,             0.19886,            0.061243,            0.011126,            0.049011,            0.047521,           0.0005207,           0.0005207
                  18,            0.042913,            0.023259,            0.047718,           0.0034358,                   1,             0.39357,             0.19728,            0.062205,            0.011288,             0.04879,            0.044549,          0.00054899,          0.00054899
                  19,            0.042609,            0.028554,            0.046869,           0.0038124,                   1,             0.36644,             0.19986,            0.055313,            0.011925,            0.048859,            0.041577,          0.00057709,          0.00057709
                  20,            0.040866,            0.023396,            0.047823,              0.1654,             0.81339,             0.36955,             0.23027,             0.05171,            0.012093,            0.048965,            0.038605,          0.00060498,          0.00060498
                  21,            0.039269,            0.020473,             0.04637,             0.47975,             0.26667,             0.35691,             0.19645,            0.045979,            0.012638,            0.049011,            0.035633,          0.00063265,          0.00063265
                  22,            0.039624,            0.022922,            0.047912,             0.51728,             0.26721,             0.35301,             0.20461,            0.046153,            0.012529,            0.048981,             0.03266,           0.0006601,           0.0006601
                  23,            0.041462,            0.023391,            0.047052,             0.34672,             0.46667,             0.34213,             0.18876,            0.048372,            0.012209,            0.048645,            0.029687,          0.00068731,          0.00068731
                  24,            0.038562,            0.026133,            0.047429,             0.33317,             0.51775,             0.37505,             0.22264,            0.046809,            0.012064,            0.048477,            0.026714,          0.00071428,          0.00071428
                  25,            0.037047,            0.018116,            0.046777,             0.19875,             0.77528,              0.3208,             0.17612,             0.04552,            0.011753,            0.048462,            0.023741,          0.00074099,          0.00074099
                  26,            0.042537,            0.022188,            0.047541,             0.21187,             0.71333,             0.34077,             0.19033,            0.045705,            0.011024,             0.04834,            0.020767,          0.00076743,          0.00076743
                  27,            0.045825,            0.018946,            0.046832,             0.17934,             0.95798,             0.36054,             0.20775,            0.046207,           0.0097027,            0.048187,            0.017794,           0.0007936,           0.0007936
                  28,            0.044906,            0.018696,            0.047811,             0.17853,                0.95,             0.36136,              0.1885,            0.045503,           0.0099392,            0.048309,            0.014819,          0.00081948,          0.00081948
                  29,            0.040121,            0.017972,            0.046959,              0.1884,                0.95,             0.34282,             0.20496,            0.041797,           0.0099163,            0.048248,            0.011845,          0.00084508,          0.00084508
                  30,            0.039796,             0.01732,            0.048274,             0.19457,                0.95,             0.38761,             0.24298,            0.040596,            0.009594,            0.048096,           0.0088704,          0.00087036,          0.00087036
                  31,              0.0384,            0.016928,            0.047535,             0.19798,             0.86969,             0.40044,              0.1886,              0.0438,           0.0086117,            0.047943,           0.0058953,          0.00089534,          0.00089534
                  32,            0.036553,            0.016493,            0.047724,             0.17595,             0.77766,             0.37603,             0.17683,            0.044329,           0.0079384,            0.047852,             0.00292,             0.00092,             0.00092
                  33,            0.037525,            0.015311,            0.047258,             0.17825,                 0.8,             0.36485,             0.20343,            0.041586,           0.0077362,            0.047653,          0.00093497,          0.00093497,          0.00093497
                  34,            0.037985,            0.014317,            0.046569,              0.1941,             0.92138,             0.35862,             0.16087,            0.050101,           0.0071526,            0.047684,          0.00093497,          0.00093497,          0.00093497
                  35,            0.035785,            0.013474,            0.047422,             0.17699,             0.86504,             0.36552,             0.21031,            0.039336,           0.0072327,            0.047668,          0.00093107,          0.00093107,          0.00093107
                  36,            0.035123,           0.0094508,            0.047016,             0.17226,             0.87933,             0.36492,             0.21766,            0.038493,           0.0074062,            0.047638,          0.00092706,          0.00092706,          0.00092706
                  37,            0.032299,            0.011764,            0.047632,             0.16367,                 0.8,             0.35228,             0.19416,            0.051511,           0.0068684,            0.047554,          0.00092294,          0.00092294,          0.00092294
                  38,            0.035113,           0.0093369,            0.046746,             0.35924,             0.78161,             0.32347,             0.18426,            0.049188,           0.0065308,            0.047432,          0.00091872,          0.00091872,          0.00091872
                  39,            0.035436,           0.0088766,             0.04721,             0.18807,                   1,             0.33961,             0.16034,            0.043422,           0.0061693,            0.047134,           0.0009144,           0.0009144,           0.0009144
                  40,            0.035117,            0.010531,            0.046408,             0.18609,                0.92,             0.34367,             0.15881,            0.046641,            0.006259,            0.047089,          0.00090998,          0.00090998,          0.00090998
                  41,            0.033488,            0.010349,            0.046446,             0.14293,                 0.8,              0.2888,             0.15765,            0.043786,           0.0072041,            0.046959,          0.00090546,          0.00090546,          0.00090546
                  42,            0.032399,             0.01085,             0.04736,             0.14242,                 0.8,             0.28533,             0.15875,            0.044184,           0.0077438,            0.046936,          0.00090084,          0.00090084,          0.00090084
                  43,            0.036089,           0.0092396,            0.046822,             0.18737,                   1,             0.31772,             0.19165,             0.03642,           0.0084896,            0.046738,          0.00089613,          0.00089613,          0.00089613
                  44,            0.033565,            0.010059,            0.047034,             0.17657,                   1,              0.3199,             0.19068,            0.035866,           0.0082455,            0.046715,          0.00089131,          0.00089131,          0.00089131
                  45,            0.031297,            0.011043,            0.046298,             0.19301,             0.99587,             0.35047,             0.20885,            0.036732,           0.0079651,            0.046669,           0.0008864,           0.0008864,           0.0008864
                  46,            0.034278,            0.010359,            0.046462,             0.16622,                   1,             0.29913,             0.17557,            0.037846,            0.007452,            0.046661,           0.0008814,           0.0008814,           0.0008814
                  47,            0.032393,           0.0092626,             0.04708,              0.1865,                   1,             0.30672,             0.17684,            0.039633,           0.0065432,            0.046669,           0.0008763,           0.0008763,           0.0008763
