               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094392,            0.016126,            0.033106,                   0,                   0,                   0,                   0,            0.068146,           0.0082922,            0.023552,              0.0973,              0.0003,              0.0003
                   1,            0.067235,            0.012624,            0.027195,           6.414e-05,            0.055556,          4.5112e-05,           1.288e-05,            0.072334,           0.0070868,             0.02236,              0.0937,          0.00069996,          0.00069996
                   2,            0.066041,             0.01114,            0.033366,                   0,                   0,                   0,                   0,             0.07059,           0.0058481,            0.020424,              0.0901,           0.0010998,           0.0010998
                   3,            0.062678,            0.010383,            0.029488,                   0,                   0,                   0,                   0,            0.081922,           0.0032401,            0.024904,            0.086499,           0.0014993,           0.0014993
                   4,            0.059466,            0.010527,            0.030568,                   0,                   0,                   0,                   0,            0.079624,           0.0045368,            0.024661,            0.082898,           0.0018983,           0.0018983
                   5,            0.061433,            0.011173,            0.029311,                   0,                   0,                   0,                   0,            0.076406,           0.0049801,            0.023622,            0.079297,           0.0022968,           0.0022968
                   6,            0.054917,            0.010865,             0.02717,                   0,                   0,                   0,                   0,            0.075187,           0.0055876,             0.02368,            0.075695,           0.0026946,           0.0026946
                   7,            0.052098,            0.010988,            0.027695,                   0,                   0,                   0,                   0,            0.090538,           0.0099815,             0.43069,            0.072092,           0.0030916,           0.0030916
                   8,            0.053138,            0.010854,            0.027817,                   0,                   0,                   0,                   0,            0.097549,             0.12677,              6.8841,            0.068488,           0.0034876,           0.0034876
                   9,            0.049801,             0.01077,            0.024629,                   0,                   0,                   0,                   0,            0.097569,             0.40952,              21.116,            0.064882,           0.0038825,           0.0038825
                  10,            0.058515,            0.011285,            0.029326,                   0,                   0,                   0,                   0,            0.089228,                 nan,              20.359,            0.061276,           0.0042762,           0.0042762
                  11,             0.05468,            0.011247,            0.031542,                   0,                   0,                   0,                   0,            0.089234,               0.478,              13.535,            0.057669,           0.0046685,           0.0046685
                  12,             0.05645,            0.010657,            0.030558,                   0,                   0,                   0,                   0,            0.089125,             0.21576,              6.4977,            0.054059,           0.0050593,           0.0050593
                  13,            0.050889,            0.010714,            0.027996,          0.00017674,            0.090909,          0.00019273,          3.5455e-05,             0.07801,            0.015157,            0.040971,            0.050449,           0.0054486,           0.0054486
                  14,            0.051488,            0.010981,            0.029484,          7.5075e-05,            0.045455,          8.0714e-05,          1.2506e-05,            0.077439,            0.023536,            0.038407,            0.046836,           0.0058361,           0.0058361
                  15,            0.053152,            0.010785,            0.030771,           0.0002275,             0.15152,          0.00077433,          0.00013447,            0.051509,            0.013525,            0.021194,            0.043222,           0.0062217,           0.0062217
                  16,            0.052631,            0.010609,            0.029242,          0.00031941,             0.15455,            0.001084,          0.00014586,             0.05155,           0.0079067,            0.021296,            0.039605,           0.0066053,           0.0066053
                  17,             0.04951,            0.010917,             0.02838,          0.00012401,            0.015152,          8.4911e-05,          8.4911e-06,            0.082083,            0.039114,             0.52869,            0.035987,           0.0069868,           0.0069868
