               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10133,            0.018423,            0.040861,                   0,                   0,                   0,                   0,            0.065106,            0.011512,            0.025882,              0.0964,              0.0004,              0.0004
                   1,             0.06028,            0.013279,            0.033401,                   0,                   0,                   0,                   0,            0.069165,           0.0058501,             0.02986,              0.0919,          0.00089995,          0.00089995
                   2,            0.060723,            0.011529,            0.036656,          9.2847e-05,             0.11111,          0.00028227,           3.441e-05,            0.064424,           0.0070496,            0.027795,              0.0874,           0.0013997,           0.0013997
                   3,            0.053304,            0.011369,            0.036778,                   0,                   0,                   0,                   0,            0.068583,           0.0068399,             0.02846,            0.082899,           0.0018991,           0.0018991
                   4,            0.050642,            0.011319,            0.038417,                   0,                   0,                   0,                   0,            0.065674,           0.0083019,            0.031219,            0.078398,           0.0023979,           0.0023979
                   5,            0.053323,            0.010949,            0.037058,          2.0111e-05,            0.015873,          1.2273e-05,          1.2273e-06,                 nan,                 nan,             0.33121,            0.073896,            0.002896,            0.002896
                   6,            0.052072,            0.011382,            0.037545,                   0,                   0,                   0,                   0,            0.082079,            0.042703,             0.79408,            0.069393,           0.0033932,           0.0033932
                   7,            0.044622,            0.011027,            0.035956,                   0,                   0,                   0,                   0,                 nan,                 nan,               5.129,            0.064889,           0.0038894,           0.0038894
                   8,            0.048778,            0.010141,            0.035777,                   0,                   0,                   0,                   0,                 nan,                 nan,              2.8077,            0.060384,           0.0043844,           0.0043844
                   9,            0.045723,           0.0091046,            0.033913,                   0,                   0,                   0,                   0,                 nan,                 nan,              99.041,            0.055878,            0.004878,            0.004878
                  10,            0.052222,           0.0087325,            0.036956,                   0,                   0,                   0,                   0,                 nan,                 nan,               9.066,             0.05137,           0.0053701,           0.0053701
                  11,            0.052263,           0.0089557,            0.036678,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.04686,           0.0058605,           0.0058605
                  12,             0.04938,           0.0086151,            0.036906,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.042349,            0.006349,            0.006349
                  13,            0.045624,           0.0085023,            0.036148,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.037835,           0.0068355,           0.0068355
                  14,             0.04423,           0.0078416,             0.03772,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.03332,           0.0073198,           0.0073198
                  15,            0.042818,           0.0076092,            0.035705,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.028802,           0.0078018,           0.0078018
                  16,            0.046176,           0.0069368,            0.036305,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.024281,           0.0082812,           0.0082812
                  17,            0.045781,           0.0059854,            0.034003,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.019758,           0.0087581,           0.0087581
                  18,            0.045069,           0.0064932,            0.034929,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.015232,            0.009232,            0.009232
                  19,            0.040716,           0.0058551,            0.035215,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.010703,           0.0097031,           0.0097031
                  20,            0.044172,           0.0056045,            0.037276,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0097798,           0.0097798,           0.0097798
                  21,            0.047183,           0.0053541,            0.036263,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0097798,           0.0097798,           0.0097798
                  22,            0.044834,           0.0063877,            0.035563,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0097574,           0.0097574,           0.0097574
                  23,            0.040964,           0.0054071,            0.035024,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009734,            0.009734,            0.009734
                  24,            0.040454,           0.0057499,            0.035663,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0097095,           0.0097095,           0.0097095
                  25,            0.040495,           0.0053354,            0.035025,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009684,            0.009684,            0.009684
                  26,            0.038524,           0.0050153,            0.035884,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0096575,           0.0096575,           0.0096575
                  27,            0.041067,           0.0052589,            0.036039,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0096299,           0.0096299,           0.0096299
                  28,            0.036219,             0.00511,            0.035163,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0096013,           0.0096013,           0.0096013
                  29,             0.03495,           0.0049087,            0.033372,                   0,                   0,                   0,                   0,                 nan,                 nan,              11.052,           0.0095717,           0.0095717,           0.0095717
                  30,             0.03947,           0.0050061,            0.036604,                   0,                   0,                   0,                   0,                 nan,                 nan,              8.9409,           0.0095411,           0.0095411,           0.0095411
                  31,            0.035477,           0.0051131,            0.035159,                   0,                   0,                   0,                   0,             0.10137,             0.27025,              3.3902,           0.0095095,           0.0095095,           0.0095095
                  32,            0.035861,           0.0049017,            0.035782,                   0,                   0,                   0,                   0,             0.10077,             0.13521,              1.3877,           0.0094769,           0.0094769,           0.0094769
                  33,            0.035417,           0.0047746,            0.034066,                   0,                   0,                   0,                   0,              0.0862,            0.085193,             0.47631,           0.0094434,           0.0094434,           0.0094434
                  34,            0.037119,            0.005062,            0.032901,           0.0008701,             0.12778,           0.0023283,          0.00035254,            0.092626,             0.13592,               1.174,           0.0094088,           0.0094088,           0.0094088
                  35,            0.041194,           0.0047778,            0.035815,                   0,                   0,                   0,                   0,             0.09087,             0.45826,               2.854,           0.0093733,           0.0093733,           0.0093733
                  36,            0.042309,           0.0045713,            0.034156,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0093369,           0.0093369,           0.0093369
                  37,            0.039191,           0.0049718,            0.036457,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0092995,           0.0092995,           0.0092995
                  38,            0.040404,           0.0053263,            0.035252,                   0,                   0,                   0,                   0,            0.092264,             0.11108,              1.3598,           0.0092611,           0.0092611,           0.0092611
                  39,            0.040274,           0.0063675,            0.034154,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0092219,           0.0092219,           0.0092219
                  40,            0.034279,           0.0055149,            0.032854,                   0,                   0,                   0,                   0,                 nan,                 nan,              1.2952,           0.0091817,           0.0091817,           0.0091817
                  41,            0.034988,           0.0049577,             0.03199,                   0,                   0,                   0,                   0,            0.094724,            0.035194,              1.0681,           0.0091406,           0.0091406,           0.0091406
                  42,             0.03644,           0.0049686,            0.034617,          0.00020111,            0.031746,          0.00013891,          2.7782e-05,            0.091216,            0.022313,             0.67857,           0.0090986,           0.0090986,           0.0090986
                  43,             0.03548,           0.0048934,             0.03506,           0.0030447,             0.63492,           0.0040587,          0.00072611,             0.07234,            0.021947,             0.12324,           0.0090557,           0.0090557,           0.0090557
                  44,            0.032483,           0.0047954,            0.034374,            0.003318,             0.74709,           0.0044667,          0.00072939,            0.068614,            0.036279,            0.070929,           0.0090119,           0.0090119,           0.0090119
                  45,            0.036531,           0.0047727,            0.036533,           0.0031999,             0.66111,            0.005163,          0.00097171,            0.065914,            0.027774,            0.037755,           0.0089673,           0.0089673,           0.0089673
                  46,            0.037415,           0.0045943,             0.03607,           0.0037599,             0.91005,           0.0065254,           0.0014555,            0.061416,             0.02423,            0.026698,           0.0089218,           0.0089218,           0.0089218
                  47,            0.035965,           0.0055996,            0.034832,           0.0037373,             0.57302,           0.0055007,            0.001341,            0.063797,            0.019046,            0.074897,           0.0088755,           0.0088755,           0.0088755
                  48,            0.036188,           0.0047486,            0.034905,           0.0019389,             0.19577,           0.0034726,           0.0010538,            0.074745,            0.015349,             0.09959,           0.0088283,           0.0088283,           0.0088283
                  49,            0.031133,           0.0042101,            0.030509,           0.0002513,            0.087302,          0.00030878,          3.8487e-05,            0.074347,            0.009123,            0.061986,           0.0087804,           0.0087804,           0.0087804
                  50,            0.033956,           0.0046021,            0.032358,            0.011436,             0.21429,            0.033165,           0.0055646,            0.068956,            0.011709,            0.068904,           0.0087316,           0.0087316,           0.0087316
                  51,            0.036576,           0.0043905,            0.034348,           0.0001546,             0.10317,          0.00015976,          3.1679e-05,            0.067677,             0.04313,            0.056759,            0.008682,            0.008682,            0.008682
                  52,            0.039236,           0.0042894,            0.034616,                   0,                   0,                   0,                   0,            0.072681,            0.037998,            0.072802,           0.0086316,           0.0086316,           0.0086316
                  53,            0.033751,           0.0043766,            0.035297,          0.00017334,            0.055556,          0.00015951,          1.5951e-05,            0.069149,            0.015444,            0.081362,           0.0085805,           0.0085805,           0.0085805
                  54,            0.037017,           0.0044623,            0.034072,           0.0061713,             0.43175,            0.010443,           0.0027592,            0.065037,           0.0082338,            0.059639,           0.0085286,           0.0085286,           0.0085286
