               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093212,            0.017544,            0.042587,          5.9964e-05,            0.025108,          4.0266e-05,          4.8468e-06,            0.055509,           0.0086333,            0.026335,              0.0937,              0.0007,              0.0007
                   1,            0.060197,            0.011627,            0.036603,          2.5655e-05,            0.036364,          0.00014009,          1.4009e-05,            0.094043,           0.0019547,             0.18755,              0.0865,           0.0014999,           0.0014999
                   2,            0.060993,            0.011236,            0.036684,                   0,                   0,                   0,                   0,            0.090036,           0.0054854,             0.22875,            0.079299,           0.0022995,           0.0022995
                   3,             0.05357,             0.01112,            0.036824,                   0,                   0,                   0,                   0,                 nan,                 nan,              9.5128,            0.072098,           0.0030985,           0.0030985
                   4,             0.05158,            0.010969,            0.037686,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.064897,           0.0038965,           0.0038965
                   5,             0.05248,            0.010442,            0.036819,                   0,                   0,                   0,                   0,                 nan,                 nan,              5.9473,            0.057693,           0.0046935,           0.0046935
                   6,            0.050966,            0.010754,            0.036936,                   0,                   0,                   0,                   0,                 nan,                 nan,             0.79414,            0.050489,            0.005489,            0.005489
                   7,            0.051478,           0.0099432,            0.036114,                   0,                   0,                   0,                   0,                 nan,                 nan,              1.0138,            0.043283,           0.0062829,           0.0062829
                   8,            0.050631,           0.0099186,            0.036677,          0.00018477,            0.012987,          0.00012091,          1.2091e-05,                 nan,                 nan,                 nan,            0.036075,           0.0070748,           0.0070748
                   9,            0.049352,           0.0093883,            0.035087,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.028865,           0.0078645,           0.0078645
                  10,            0.050377,           0.0089191,            0.034162,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.021652,           0.0086518,           0.0086518
                  11,             0.04996,           0.0082389,            0.034056,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.014436,           0.0094363,           0.0094363
                  12,            0.050781,           0.0082984,            0.034869,                   0,                   0,                   0,                   0,                 nan,                 nan,              0.5916,           0.0099203,           0.0099203,           0.0099203
                  13,            0.048846,           0.0074624,            0.034783,                   0,                   0,                   0,                   0,                 nan,                 nan,              1.0277,           0.0099203,           0.0099203,           0.0099203
                  14,            0.049807,            0.007331,            0.035018,                   0,                   0,                   0,                   0,             0.10917,          0.00059416,             0.38837,           0.0099065,           0.0099065,           0.0099065
                  15,            0.047051,           0.0073556,            0.035322,            0.029829,             0.33723,             0.14639,            0.065872,                 nan,                 nan,              2.4449,           0.0098916,           0.0098916,           0.0098916
                  16,            0.043572,           0.0069215,            0.034299,                   0,                   0,                   0,                   0,                 nan,                 nan,             0.23868,           0.0098757,           0.0098757,           0.0098757
                  17,            0.046359,            0.006732,            0.033834,                   0,                   0,                   0,                   0,                 nan,                 nan,              7.2548,           0.0098586,           0.0098586,           0.0098586
                  18,            0.046495,           0.0089514,            0.035362,                   0,                   0,                   0,                   0,            0.092615,             0.32058,              7.5578,           0.0098405,           0.0098405,           0.0098405
                  19,            0.046575,           0.0073036,            0.034036,          0.00011714,            0.012121,          0.00026783,          2.6783e-05,                 nan,                 nan,              3.0013,           0.0098213,           0.0098213,           0.0098213
                  20,            0.048995,           0.0079266,            0.034802,                   0,                   0,                   0,                   0,            0.063218,            0.037082,             0.21026,           0.0098011,           0.0098011,           0.0098011
                  21,            0.043839,           0.0074734,            0.034913,                   0,                   0,                   0,                   0,            0.089204,             0.20187,              3.5752,           0.0097798,           0.0097798,           0.0097798
                  22,            0.041918,           0.0066367,            0.033643,                   0,                   0,                   0,                   0,            0.090337,             0.12713,              2.1771,           0.0097574,           0.0097574,           0.0097574
                  23,             0.04208,           0.0065213,            0.032592,             0.82447,            0.038095,           0.0060267,           0.0022877,            0.066642,             0.10457,             0.19425,            0.009734,            0.009734,            0.009734
                  24,            0.043527,            0.006312,            0.034501,             0.18184,            0.018182,          2.9134e-05,          2.9134e-06,            0.065209,             0.19801,             0.13715,           0.0097095,           0.0097095,           0.0097095
