               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081336,            0.026893,            0.041092,          0.00051897,             0.23333,           0.0029323,          0.00029323,            0.085175,            0.012941,            0.042174,             0.09901,               1e-05,               1e-05
                   1,            0.093356,            0.025024,            0.050913,          0.00038388,                 0.2,          0.00082917,          0.00024875,            0.074004,             0.01156,            0.042709,             0.09703,          2.9998e-05,          2.9998e-05
                   2,            0.061471,            0.026671,            0.035382,          0.00055218,             0.16667,            0.011195,           0.0021305,            0.048016,            0.010506,            0.040375,             0.09505,          4.9988e-05,          4.9988e-05
                   3,            0.052495,            0.024092,            0.034998,          0.00056338,                 0.2,            0.011158,           0.0016555,            0.038969,           0.0087802,            0.038631,             0.09307,          6.9962e-05,          6.9962e-05
                   4,            0.076111,             0.02557,            0.037627,          0.00064551,                 0.2,            0.024264,           0.0065604,            0.029906,           0.0081775,            0.036447,             0.09109,          8.9912e-05,          8.9912e-05
                   5,            0.048149,            0.022524,            0.031451,           0.0013116,                 0.4,             0.21362,            0.077483,            0.026776,           0.0078859,            0.038205,             0.08911,          0.00010983,          0.00010983
                   6,            0.046754,            0.024298,            0.026025,            0.011236,                 0.8,             0.15046,             0.10692,              0.0292,            0.007803,            0.042545,             0.08713,          0.00012971,          0.00012971
                   7,            0.043606,              0.0287,            0.030364,           0.0033184,                 0.8,             0.17072,             0.08187,            0.035486,           0.0087144,            0.044398,             0.08515,          0.00014955,          0.00014955
                   8,            0.043662,            0.029205,            0.034621,             0.20765,                 0.8,             0.23007,            0.094165,            0.042676,            0.010143,            0.044179,            0.083169,          0.00016934,          0.00016934
                   9,            0.060286,            0.026568,            0.032036,             0.80131,                 0.2,             0.29249,            0.097422,            0.043155,            0.011026,            0.043327,            0.081189,          0.00018906,          0.00018906
                  10,            0.038573,            0.028008,            0.032675,             0.81726,                 0.2,             0.24338,             0.11132,            0.046272,            0.013684,            0.041405,            0.079209,          0.00020872,          0.00020872
                  11,            0.063897,            0.026526,            0.042717,             0.83647,             0.16667,             0.18037,            0.096869,            0.044597,            0.016506,            0.039771,            0.077228,           0.0002283,           0.0002283
                  12,            0.035427,             0.02404,            0.025546,             0.82052,                 0.2,             0.17934,            0.064828,            0.036909,            0.017312,            0.038892,            0.075248,          0.00024781,          0.00024781
                  13,            0.036775,            0.022122,            0.034929,             0.81648,                 0.2,             0.24944,            0.082546,            0.037052,            0.015468,             0.03815,            0.073267,          0.00026722,          0.00026722
                  14,            0.034326,            0.028272,            0.031022,             0.81275,                 0.2,             0.32355,              0.1211,            0.037808,            0.012158,            0.037463,            0.071287,          0.00028654,          0.00028654
                  15,            0.035907,            0.027035,            0.030518,             0.61175,                 0.2,             0.22099,            0.074422,            0.036827,            0.010063,            0.036433,            0.069306,          0.00030576,          0.00030576
                  16,             0.03583,            0.023403,            0.028508,             0.62408,                 0.2,             0.20595,            0.088872,             0.03373,            0.009227,            0.035884,            0.067325,          0.00032487,          0.00032487
                  17,            0.033488,            0.031739,            0.026143,             0.63161,             0.13333,             0.12428,            0.029199,            0.038688,           0.0099134,            0.035376,            0.065344,          0.00034386,          0.00034386
                  18,            0.030943,            0.027295,            0.027015,              0.6411,             0.16667,             0.27504,            0.062845,             0.03936,            0.011417,            0.035541,            0.063363,          0.00036273,          0.00036273
