               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081414,            0.011765,            0.026998,          2.7495e-05,            0.011765,          1.8779e-05,          1.8779e-06,             0.11682,            0.012132,            0.047252,              0.0766,              0.0026,              0.0026
                   1,            0.064167,           0.0099722,            0.025708,                   0,                   0,                   0,                   0,                 nan,                 nan,              8.1626,              0.0523,           0.0052997,           0.0052997
                   2,            0.061387,           0.0086616,            0.025142,             0.40002,            0.011765,          5.3219e-06,          2.1288e-06,                 nan,                 nan,              1.2078,            0.027998,           0.0079982,           0.0079982
                   3,            0.059903,           0.0079331,             0.02515,          0.00097951,            0.089412,           0.0011002,          0.00046918,                 nan,                 nan,              1.2778,            0.009995,            0.009995,            0.009995
                   4,            0.058584,           0.0074908,            0.024867,                   0,                   0,                   0,                   0,             0.13375,            0.052343,             0.85707,            0.009995,            0.009995,            0.009995
                   5,            0.054318,           0.0068419,            0.024443,             0.42273,            0.090588,            0.016594,           0.0051112,              0.1004,             0.23694,            0.036285,           0.0099911,           0.0099911,           0.0099911
                   6,            0.053516,           0.0066104,            0.023699,            0.012425,             0.44471,            0.027887,           0.0085997,            0.071075,            0.044299,            0.063638,           0.0099861,           0.0099861,           0.0099861
                   7,            0.053485,           0.0066206,            0.023129,             0.42315,            0.055294,           0.0089506,           0.0028555,            0.072477,            0.079179,            0.073084,             0.00998,             0.00998,             0.00998
                   8,            0.051281,           0.0064862,            0.022429,             0.14432,             0.31294,             0.13138,            0.045027,            0.074328,            0.021865,            0.050834,           0.0099728,           0.0099728,           0.0099728
                   9,            0.049339,           0.0063376,             0.02214,             0.47072,             0.18035,            0.087554,            0.017993,            0.069209,            0.010948,            0.036332,           0.0099645,           0.0099645,           0.0099645
                  10,            0.048342,           0.0063038,            0.021136,             0.32165,             0.27059,             0.16834,            0.044534,            0.062983,            0.010876,            0.032526,           0.0099551,           0.0099551,           0.0099551
                  11,            0.048599,            0.006239,            0.019779,             0.48005,             0.11765,            0.088285,            0.032504,            0.081204,            0.025282,            0.042725,           0.0099446,           0.0099446,           0.0099446
                  12,            0.048991,           0.0060682,            0.018296,            0.069978,             0.28513,            0.063353,            0.020315,            0.077611,            0.011021,            0.046152,            0.009933,            0.009933,            0.009933
                  13,            0.049936,           0.0061757,            0.017238,             0.29574,             0.26588,             0.10487,            0.038402,            0.063608,           0.0088291,            0.049152,           0.0099203,           0.0099203,           0.0099203
                  14,            0.049024,           0.0058381,            0.016529,             0.11438,             0.37059,             0.13363,            0.040314,            0.061649,           0.0093343,            0.044758,           0.0099065,           0.0099065,           0.0099065
                  15,            0.049062,           0.0054522,            0.017347,             0.35049,             0.27529,             0.12132,            0.036274,            0.068506,           0.0066338,            0.056163,           0.0098916,           0.0098916,           0.0098916
                  16,            0.047237,           0.0056056,            0.014861,             0.15843,             0.32235,             0.18286,             0.06859,            0.053976,           0.0065422,             0.05676,           0.0098757,           0.0098757,           0.0098757
                  17,            0.047411,           0.0055398,            0.015716,             0.27607,                0.26,             0.10028,            0.029794,            0.070581,            0.047258,            0.042911,           0.0098586,           0.0098586,           0.0098586
                  18,            0.047364,           0.0056009,            0.014934,             0.11687,             0.35176,              0.1452,            0.041872,            0.060598,           0.0058136,            0.043659,           0.0098405,           0.0098405,           0.0098405
                  19,             0.04544,           0.0052247,            0.014813,             0.78692,             0.13765,             0.15846,            0.056507,            0.066835,           0.0064205,            0.044621,           0.0098213,           0.0098213,           0.0098213
                  20,            0.045098,           0.0050826,            0.012667,             0.89937,             0.13412,             0.12403,            0.045482,            0.065666,            0.009087,            0.058206,           0.0098011,           0.0098011,           0.0098011
                  21,            0.044623,            0.005202,             0.01308,             0.14149,             0.27882,             0.17856,            0.071585,             0.06595,           0.0073004,            0.047904,           0.0097798,           0.0097798,           0.0097798
                  22,            0.045188,           0.0054841,            0.012778,             0.80343,             0.14941,             0.18383,             0.06695,            0.063098,           0.0080175,            0.063929,           0.0097574,           0.0097574,           0.0097574
                  23,            0.045349,            0.005326,            0.012252,             0.17804,             0.35768,             0.27247,            0.096131,            0.058449,           0.0056794,            0.053796,            0.009734,            0.009734,            0.009734
                  24,            0.045868,           0.0052955,            0.012096,             0.12336,             0.30017,             0.12338,            0.032679,            0.066459,           0.0060677,             0.07579,           0.0097095,           0.0097095,           0.0097095
                  25,            0.045099,            0.005208,            0.012242,             0.19459,             0.35882,             0.21417,            0.047631,            0.066922,           0.0047331,            0.059553,            0.009684,            0.009684,            0.009684
                  26,            0.045163,           0.0052701,            0.012599,             0.11429,             0.18235,            0.088694,            0.031158,            0.067696,           0.0072326,            0.057887,           0.0096575,           0.0096575,           0.0096575
                  27,            0.045523,           0.0052746,            0.012103,            0.075122,            0.098824,            0.073116,            0.015357,            0.075966,           0.0046411,            0.049469,           0.0096299,           0.0096299,           0.0096299
                  28,            0.046698,           0.0050472,            0.011605,              0.3395,             0.27765,             0.26696,             0.11049,            0.065931,           0.0056358,            0.058685,           0.0096013,           0.0096013,           0.0096013
                  29,            0.046093,           0.0051351,            0.011503,             0.23063,             0.24588,             0.17365,            0.072729,            0.066307,           0.0059499,            0.060796,           0.0095717,           0.0095717,           0.0095717
                  30,            0.043789,           0.0050178,            0.011451,             0.24304,             0.28471,             0.23608,            0.058246,             0.07078,           0.0068039,            0.040146,           0.0095411,           0.0095411,           0.0095411
                  31,            0.043093,           0.0049321,            0.010715,             0.28233,             0.28941,              0.2569,             0.11592,            0.059436,           0.0053895,            0.043861,           0.0095095,           0.0095095,           0.0095095
                  32,            0.043417,           0.0047398,            0.011025,             0.27199,             0.31389,             0.32518,             0.10253,            0.057584,           0.0044736,            0.047026,           0.0094769,           0.0094769,           0.0094769
                  33,            0.042783,           0.0049394,            0.011177,             0.29983,             0.37883,             0.33075,             0.12504,            0.051966,           0.0047549,            0.041981,           0.0094434,           0.0094434,           0.0094434
                  34,            0.042279,           0.0048691,           0.0098258,             0.22613,             0.39529,             0.25409,            0.070185,            0.065315,           0.0047166,            0.041331,           0.0094088,           0.0094088,           0.0094088
                  35,             0.04295,           0.0047205,           0.0094473,             0.26838,                0.46,             0.36549,             0.14095,            0.052183,           0.0048531,            0.043532,           0.0093733,           0.0093733,           0.0093733
                  36,            0.041913,           0.0047532,           0.0090223,             0.34728,             0.32891,              0.3523,              0.1063,            0.059156,           0.0047376,            0.039528,           0.0093369,           0.0093369,           0.0093369
                  37,            0.041869,           0.0046207,           0.0092824,             0.24344,             0.27412,             0.24851,            0.098048,            0.055703,           0.0047062,             0.05289,           0.0092995,           0.0092995,           0.0092995
                  38,            0.042719,           0.0046362,           0.0083197,             0.29678,             0.40353,             0.38674,             0.12019,            0.062371,            0.004408,            0.031447,           0.0092611,           0.0092611,           0.0092611
                  39,            0.040539,           0.0046506,           0.0087472,             0.31694,             0.33059,             0.31161,             0.10177,            0.058992,           0.0043422,            0.059344,           0.0092219,           0.0092219,           0.0092219
                  40,            0.042491,           0.0046587,           0.0090824,             0.11426,             0.25294,              0.1246,            0.028294,            0.072064,           0.0063054,            0.061805,           0.0091817,           0.0091817,           0.0091817
                  41,            0.044248,           0.0047046,           0.0077934,              0.3648,             0.41514,             0.29545,            0.077385,            0.061111,           0.0050524,            0.050536,           0.0091406,           0.0091406,           0.0091406
                  42,            0.042778,           0.0047242,           0.0076762,             0.20749,             0.35882,             0.24642,             0.10866,             0.05261,           0.0055459,            0.060086,           0.0090986,           0.0090986,           0.0090986
                  43,            0.040929,           0.0047306,           0.0095113,             0.29167,             0.33357,             0.31821,             0.13341,            0.051015,           0.0055447,            0.069971,           0.0090557,           0.0090557,           0.0090557
                  44,            0.040817,           0.0046412,           0.0086167,             0.28271,             0.41435,             0.33399,             0.10315,            0.060602,            0.004551,            0.054818,           0.0090119,           0.0090119,           0.0090119
                  45,            0.041084,           0.0045062,           0.0074153,             0.23501,                0.34,             0.23946,            0.071729,            0.063311,           0.0056452,            0.051065,           0.0089673,           0.0089673,           0.0089673
                  46,            0.041131,           0.0046273,           0.0077955,             0.23494,             0.33059,             0.30654,             0.12906,            0.049687,           0.0054205,            0.050071,           0.0089218,           0.0089218,           0.0089218
                  47,            0.039752,            0.004718,           0.0067971,             0.36671,             0.37647,             0.30632,             0.12824,            0.046651,           0.0047872,            0.053707,           0.0088755,           0.0088755,           0.0088755
                  48,             0.04045,           0.0044633,           0.0069989,             0.27104,             0.31294,             0.26657,            0.078419,            0.056374,           0.0047615,            0.049611,           0.0088283,           0.0088283,           0.0088283
                  49,            0.038802,           0.0044202,           0.0081227,             0.28238,             0.29387,             0.25594,             0.10097,            0.065663,           0.0041107,             0.05621,           0.0087804,           0.0087804,           0.0087804
                  50,            0.040121,           0.0045552,            0.007584,             0.26743,             0.30762,             0.21061,            0.086028,            0.056402,           0.0054723,            0.053226,           0.0087316,           0.0087316,           0.0087316
                  51,             0.03837,           0.0045077,           0.0078083,              0.2709,             0.42982,             0.29127,             0.10095,            0.056291,           0.0045186,             0.04351,            0.008682,            0.008682,            0.008682
                  52,            0.040109,           0.0044616,           0.0080113,             0.17254,             0.31863,             0.17544,            0.066922,            0.064781,           0.0040695,            0.047245,           0.0086316,           0.0086316,           0.0086316
                  53,             0.04053,           0.0044713,            0.008076,              0.2571,             0.46588,             0.30629,             0.13413,            0.048749,           0.0048736,            0.050607,           0.0085805,           0.0085805,           0.0085805
                  54,            0.041979,           0.0044775,           0.0067234,             0.26011,             0.43882,             0.28366,              0.1009,            0.061168,           0.0046106,            0.034609,           0.0085286,           0.0085286,           0.0085286
                  55,            0.040054,           0.0043313,           0.0061151,             0.27592,             0.33882,             0.24754,             0.11439,             0.06163,           0.0042319,            0.052871,           0.0084759,           0.0084759,           0.0084759
                  56,             0.03964,           0.0044838,           0.0068608,             0.18062,             0.25765,             0.17708,            0.055867,            0.063982,           0.0042262,            0.039542,           0.0084225,           0.0084225,           0.0084225
                  57,            0.038673,           0.0045301,           0.0063197,             0.22665,             0.34824,             0.19768,            0.079978,            0.056494,           0.0045655,            0.055554,           0.0083684,           0.0083684,           0.0083684
                  58,            0.037649,           0.0042451,            0.006005,              0.3156,             0.57912,             0.26877,             0.10334,            0.051359,           0.0039265,            0.053629,           0.0083136,           0.0083136,           0.0083136
                  59,            0.038158,           0.0042709,           0.0061044,             0.36531,             0.32824,             0.35344,             0.17286,            0.047931,           0.0040318,            0.049297,           0.0082581,           0.0082581,           0.0082581
                  60,            0.037662,           0.0043881,           0.0061814,             0.25342,             0.18824,             0.16631,            0.053844,            0.067457,           0.0042421,            0.055093,           0.0082019,           0.0082019,           0.0082019
                  61,            0.037979,           0.0044032,           0.0071968,             0.30656,             0.50588,             0.28082,             0.11903,            0.048567,           0.0052458,            0.061951,            0.008145,            0.008145,            0.008145
                  62,            0.038008,           0.0042814,           0.0056734,             0.25385,             0.39078,             0.23915,            0.087131,            0.053012,            0.004273,            0.057916,           0.0080875,           0.0080875,           0.0080875
                  63,            0.038565,           0.0042195,           0.0057289,             0.28036,             0.27059,              0.1893,            0.068851,            0.058611,           0.0041167,            0.060313,           0.0080294,           0.0080294,           0.0080294
                  64,            0.038177,           0.0042304,           0.0058808,             0.36926,             0.46894,             0.37077,             0.14024,            0.046774,           0.0038058,            0.050052,           0.0079706,           0.0079706,           0.0079706
                  65,            0.038012,           0.0042737,           0.0050542,             0.16743,             0.37294,             0.12648,            0.032949,            0.065031,           0.0048563,             0.05671,           0.0079112,           0.0079112,           0.0079112
                  66,            0.037907,           0.0042688,           0.0056282,              0.2037,             0.23896,             0.16507,            0.067261,            0.049713,           0.0045922,            0.054808,           0.0078512,           0.0078512,           0.0078512
                  67,            0.037299,           0.0042375,            0.005359,              0.2126,             0.13186,             0.13819,            0.034616,            0.059023,           0.0060197,            0.053708,           0.0077907,           0.0077907,           0.0077907
                  68,            0.037998,           0.0043097,           0.0050217,             0.24804,             0.31282,             0.27199,             0.10339,             0.04915,           0.0056981,            0.047819,           0.0077296,           0.0077296,           0.0077296
                  69,            0.036677,           0.0042202,           0.0051323,             0.26115,                0.28,             0.19703,            0.078913,            0.048383,           0.0050458,            0.059724,           0.0076679,           0.0076679,           0.0076679
                  70,            0.038977,            0.004208,           0.0049976,             0.25836,             0.30353,             0.28223,             0.10998,            0.053564,           0.0039128,            0.044582,           0.0076057,           0.0076057,           0.0076057
                  71,            0.036981,           0.0042451,            0.005053,             0.18672,                0.38,             0.22165,            0.084906,            0.056017,           0.0058978,            0.064347,            0.007543,            0.007543,            0.007543
                  72,            0.035814,           0.0041819,           0.0052552,             0.19478,             0.21558,             0.20072,            0.067618,            0.067103,           0.0040547,            0.042428,           0.0074797,           0.0074797,           0.0074797
                  73,            0.036928,           0.0041828,           0.0045453,             0.30398,             0.39647,             0.27126,              0.1162,            0.048429,           0.0037162,             0.04219,            0.007416,            0.007416,            0.007416
                  74,            0.038623,           0.0041203,           0.0046582,             0.22475,             0.34235,             0.17173,            0.049264,            0.064553,           0.0040438,            0.053182,           0.0073518,           0.0073518,           0.0073518
                  75,            0.037298,           0.0042063,           0.0050064,              0.3855,             0.34043,             0.28094,             0.11132,            0.047059,           0.0040178,            0.044122,           0.0072872,           0.0072872,           0.0072872
                  76,            0.036897,           0.0041095,           0.0047901,             0.29867,             0.31126,             0.24986,            0.090392,            0.055077,           0.0039247,            0.044469,           0.0072221,           0.0072221,           0.0072221
                  77,            0.036704,           0.0041349,            0.004697,             0.42459,             0.32182,             0.28643,             0.10584,            0.051391,           0.0055709,            0.053003,           0.0071566,           0.0071566,           0.0071566
                  78,            0.037922,           0.0041826,            0.004785,              0.3069,             0.22706,             0.12629,            0.043085,            0.053566,           0.0068835,            0.087044,           0.0070906,           0.0070906,           0.0070906
                  79,            0.036856,            0.004188,           0.0042589,             0.45469,             0.36292,             0.37657,             0.11456,            0.053159,           0.0040465,            0.041069,           0.0070243,           0.0070243,           0.0070243
                  80,            0.035003,           0.0040824,           0.0035699,             0.36109,             0.23221,             0.26113,             0.11538,            0.051718,           0.0039814,            0.055202,           0.0069576,           0.0069576,           0.0069576
                  81,            0.035294,           0.0040233,           0.0038331,             0.29424,             0.27878,             0.28228,            0.096219,            0.058743,           0.0040218,              0.0443,           0.0068906,           0.0068906,           0.0068906
                  82,            0.034498,            0.004031,           0.0037573,             0.23721,             0.47059,              0.3072,             0.10227,            0.055713,           0.0038477,            0.043918,           0.0068232,           0.0068232,           0.0068232
                  83,             0.03564,           0.0040303,           0.0035816,             0.24206,             0.28471,             0.17785,            0.079838,            0.052303,            0.004323,            0.067122,           0.0067555,           0.0067555,           0.0067555
                  84,            0.036138,           0.0041009,           0.0036034,             0.49557,             0.45368,             0.38339,             0.12567,            0.051691,           0.0040149,            0.049648,           0.0066874,           0.0066874,           0.0066874
                  85,            0.036075,           0.0040018,           0.0043999,             0.24276,             0.24118,             0.19409,            0.060407,            0.059143,           0.0043671,             0.05492,           0.0066191,           0.0066191,           0.0066191
                  86,            0.036334,           0.0039981,           0.0034597,             0.22322,             0.40941,             0.23097,            0.082684,             0.05574,           0.0040934,            0.056334,           0.0065505,           0.0065505,           0.0065505
                  87,            0.037197,           0.0041102,            0.003742,             0.30192,             0.23625,             0.18586,            0.063748,            0.060755,           0.0041982,            0.042834,           0.0064816,           0.0064816,           0.0064816
                  88,            0.035996,           0.0041842,           0.0035752,             0.17603,                0.26,              0.1764,            0.067183,            0.062322,           0.0041488,            0.051003,           0.0064125,           0.0064125,           0.0064125
                  89,            0.036438,           0.0041949,           0.0027178,             0.33834,             0.24235,             0.17186,            0.067496,            0.050855,           0.0054289,            0.061705,           0.0063432,           0.0063432,           0.0063432
                  90,             0.03577,           0.0041757,           0.0028248,             0.47781,             0.30642,             0.31273,             0.10817,            0.051248,           0.0038274,            0.056797,           0.0062737,           0.0062737,           0.0062737
                  91,            0.035469,           0.0041096,            0.002655,             0.47126,             0.29059,             0.21024,            0.076634,            0.054053,           0.0041788,            0.065904,            0.006204,            0.006204,            0.006204
                  92,            0.035267,           0.0041341,           0.0032332,             0.30303,             0.32118,             0.21855,            0.072214,            0.056913,           0.0045602,            0.067703,           0.0061341,           0.0061341,           0.0061341
                  93,             0.03379,           0.0040733,           0.0028558,             0.39683,                0.38,             0.31013,             0.09664,            0.052543,           0.0041358,            0.060287,            0.006064,            0.006064,            0.006064
                  94,            0.033059,           0.0038761,           0.0027861,             0.28129,             0.28471,             0.21844,            0.069499,            0.054987,           0.0042202,            0.070395,           0.0059938,           0.0059938,           0.0059938
                  95,            0.035028,           0.0039026,           0.0022521,             0.37841,                0.36,             0.32121,             0.12374,            0.050571,           0.0041346,            0.061747,           0.0059235,           0.0059235,           0.0059235
                  96,            0.035121,           0.0040184,           0.0030436,             0.48933,             0.33821,             0.40014,             0.12283,            0.052351,           0.0039811,             0.05049,           0.0058531,           0.0058531,           0.0058531
                  97,            0.034183,           0.0039287,           0.0030456,             0.41748,             0.30941,             0.24876,            0.084574,            0.052255,           0.0039847,            0.061043,           0.0057826,           0.0057826,           0.0057826
                  98,            0.033907,           0.0039572,           0.0028214,             0.39071,             0.33647,             0.23275,            0.083078,            0.054295,            0.004172,            0.059845,            0.005712,            0.005712,            0.005712
                  99,            0.033268,           0.0039111,           0.0026742,             0.42518,             0.58387,             0.41366,             0.13314,            0.055922,           0.0038743,            0.048865,           0.0056413,           0.0056413,           0.0056413
                 100,            0.034657,           0.0039356,           0.0027622,             0.49972,             0.51025,              0.4856,              0.1516,            0.053806,           0.0037961,            0.038492,           0.0055707,           0.0055707,           0.0055707
                 101,            0.033164,           0.0038291,           0.0024503,              0.8195,             0.59355,             0.68337,             0.23579,             0.04843,           0.0038726,            0.046371,              0.0055,              0.0055,              0.0055
                 102,            0.032988,           0.0038044,           0.0021242,             0.35702,             0.40528,             0.31054,             0.12114,            0.046409,           0.0039191,             0.06583,           0.0054293,           0.0054293,           0.0054293
                 103,            0.032997,           0.0038157,           0.0022279,             0.45038,             0.44819,             0.43765,             0.14769,            0.048555,           0.0037776,            0.055219,           0.0053587,           0.0053587,           0.0053587
                 104,            0.033297,            0.003831,           0.0025299,             0.60816,             0.36889,             0.39434,             0.13387,            0.047023,           0.0039981,            0.046276,            0.005288,            0.005288,            0.005288
                 105,            0.033451,           0.0038477,           0.0020816,             0.37228,             0.30865,             0.20277,            0.075384,            0.053408,           0.0050514,            0.063757,           0.0052174,           0.0052174,           0.0052174
                 106,            0.034347,           0.0038422,           0.0031937,             0.39276,             0.35882,             0.27492,              0.1035,            0.043564,           0.0045235,            0.073202,           0.0051469,           0.0051469,           0.0051469
                 107,            0.033777,           0.0038785,           0.0027994,             0.54367,             0.52748,             0.48677,             0.17416,            0.047348,           0.0038761,            0.045117,           0.0050765,           0.0050765,           0.0050765
                 108,            0.032996,           0.0038118,           0.0020542,             0.38697,             0.35176,             0.25543,            0.095327,            0.055468,            0.003945,            0.057014,           0.0050062,           0.0050062,           0.0050062
                 109,            0.033064,           0.0038922,           0.0030441,             0.37043,             0.33911,             0.32928,             0.11314,            0.048251,           0.0043516,            0.060848,            0.004936,            0.004936,            0.004936
                 110,              0.0321,           0.0037885,           0.0018561,             0.36075,             0.34941,             0.32321,             0.10675,            0.050035,            0.003928,            0.065395,           0.0048659,           0.0048659,           0.0048659
                 111,            0.031796,           0.0037636,           0.0017133,             0.51517,             0.39094,             0.43631,             0.12985,            0.047586,           0.0037357,            0.054491,            0.004796,            0.004796,            0.004796
                 112,            0.031883,           0.0037857,             0.00144,             0.40556,             0.37176,             0.34142,             0.10236,            0.048289,           0.0039265,            0.070839,           0.0047263,           0.0047263,           0.0047263
                 113,            0.031747,           0.0037779,           0.0013238,             0.54744,             0.45227,             0.42699,             0.15655,            0.044192,           0.0037903,            0.056518,           0.0046568,           0.0046568,           0.0046568
                 114,             0.03185,           0.0037443,           0.0013019,             0.52352,             0.48236,             0.43856,             0.13456,            0.049916,           0.0038175,            0.049632,           0.0045875,           0.0045875,           0.0045875
                 115,             0.03069,           0.0037038,           0.0016759,             0.53266,             0.42428,             0.43244,             0.14479,            0.047874,           0.0040804,            0.052061,           0.0045184,           0.0045184,           0.0045184
                 116,            0.030683,           0.0036847,            0.001777,             0.40135,             0.41282,             0.36942,             0.12466,            0.050192,           0.0038175,            0.047166,           0.0044495,           0.0044495,           0.0044495
                 117,            0.031132,           0.0036769,           0.0018459,             0.48552,             0.52941,              0.4331,             0.18493,            0.049276,           0.0037601,            0.060931,           0.0043809,           0.0043809,           0.0043809
                 118,            0.031165,           0.0037564,           0.0016786,             0.46025,             0.44776,             0.42475,             0.12381,            0.050008,           0.0038444,            0.050878,           0.0043126,           0.0043126,           0.0043126
                 119,             0.03091,           0.0037168,            0.001948,             0.42067,             0.42699,             0.33732,            0.087825,            0.053664,           0.0037634,            0.059585,           0.0042445,           0.0042445,           0.0042445
                 120,            0.031037,            0.003661,           0.0015448,             0.54305,             0.50323,             0.43032,             0.14849,            0.043932,           0.0038888,            0.061811,           0.0041768,           0.0041768,           0.0041768
                 121,            0.030949,           0.0036963,           0.0016938,             0.32766,             0.50894,             0.38289,             0.12794,            0.046331,           0.0040548,            0.053017,           0.0041094,           0.0041094,           0.0041094
                 122,            0.030629,           0.0036521,           0.0013955,              0.3503,             0.54118,             0.44702,             0.16807,            0.045389,           0.0037813,            0.056505,           0.0040424,           0.0040424,           0.0040424
                 123,            0.031652,           0.0037145,           0.0014658,             0.46348,             0.53059,             0.48138,             0.16181,            0.049859,           0.0037264,             0.05456,           0.0039757,           0.0039757,           0.0039757
                 124,            0.030675,           0.0036655,           0.0013087,             0.43638,              0.4433,             0.41734,             0.15728,            0.043145,           0.0036046,             0.05946,           0.0039094,           0.0039094,           0.0039094
                 125,            0.032501,           0.0036253,            0.001565,             0.42583,             0.41765,             0.38327,             0.12257,            0.048116,           0.0039095,            0.060315,           0.0038434,           0.0038434,           0.0038434
                 126,            0.031159,           0.0036193,           0.0011878,             0.46161,             0.33417,              0.3307,             0.12055,             0.04728,           0.0039756,            0.066393,           0.0037779,           0.0037779,           0.0037779
                 127,            0.029988,           0.0035878,           0.0013403,              0.4689,             0.42636,             0.39384,             0.12654,            0.049546,           0.0036945,            0.056738,           0.0037128,           0.0037128,           0.0037128
                 128,            0.030403,           0.0035814,           0.0012755,             0.57161,              0.5152,             0.57331,             0.22112,            0.042184,           0.0037516,            0.055174,           0.0036482,           0.0036482,           0.0036482
                 129,            0.029978,           0.0035948,           0.0013759,             0.43153,             0.39765,             0.39395,              0.1487,            0.045211,           0.0036521,             0.06079,            0.003584,            0.003584,            0.003584
                 130,            0.028845,           0.0035012,          0.00099317,             0.45627,             0.44612,             0.40054,             0.14111,             0.04652,           0.0038674,            0.054968,           0.0035203,           0.0035203,           0.0035203
                 131,            0.029634,           0.0035537,           0.0012384,             0.52224,             0.47922,             0.42599,             0.15304,            0.048001,           0.0039222,            0.051982,            0.003457,            0.003457,            0.003457
                 132,            0.029904,           0.0034768,           0.0010601,             0.60044,             0.53335,             0.54126,             0.20414,            0.043598,           0.0035994,             0.04889,           0.0033943,           0.0033943,           0.0033943
                 133,            0.028953,           0.0034559,           0.0011188,             0.61444,             0.52776,             0.62031,             0.24337,            0.044754,            0.003692,            0.041629,           0.0033321,           0.0033321,           0.0033321
                 134,            0.028365,           0.0034641,           0.0011061,              0.4252,             0.65143,             0.55204,             0.18498,            0.049752,            0.003718,            0.042106,           0.0032704,           0.0032704,           0.0032704
                 135,             0.02863,           0.0034959,           0.0010809,             0.50062,             0.57765,             0.53386,             0.18813,            0.044437,           0.0036489,            0.043543,           0.0032093,           0.0032093,           0.0032093
                 136,            0.028105,             0.00354,           0.0010689,             0.41308,             0.48017,             0.41924,             0.15027,            0.046366,           0.0037454,            0.051209,           0.0031488,           0.0031488,           0.0031488
                 137,            0.029613,           0.0035487,          0.00097394,             0.34506,             0.53058,             0.38052,             0.15177,            0.048732,           0.0037564,            0.050789,           0.0030888,           0.0030888,           0.0030888
