               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10144,             0.02299,            0.050406,                   0,                   0,                   0,                   0,            0.082269,            0.013874,            0.051643,             0.09208,               8e-05,               8e-05
                   1,            0.081545,             0.02313,            0.047465,                   0,                   0,                   0,                   0,            0.082044,            0.015356,            0.051991,             0.08317,          0.00016999,          0.00016999
                   2,            0.066633,            0.029211,            0.047873,          0.00055604,              0.1013,           0.0010153,          0.00022343,            0.079299,            0.013954,            0.051025,             0.07426,          0.00025994,          0.00025994
                   3,            0.061739,            0.028987,             0.04798,            0.008175,             0.29156,            0.011241,           0.0018341,            0.070461,            0.015642,            0.050259,             0.06535,          0.00034981,          0.00034981
                   4,            0.058631,            0.027282,            0.047667,           0.0039675,             0.81039,            0.070301,            0.012045,            0.061783,            0.016783,            0.049751,             0.05644,          0.00043957,          0.00043957
                   5,             0.05284,            0.029717,            0.047645,           0.0035738,             0.86071,            0.096745,            0.022753,            0.056198,            0.017214,            0.049694,            0.047529,          0.00052919,          0.00052919
                   6,            0.046523,             0.02532,            0.047794,           0.0036093,                0.95,             0.10836,            0.037461,            0.050749,            0.016681,            0.048538,            0.038619,          0.00061864,          0.00061864
                   7,            0.043976,            0.029184,            0.047909,            0.003627,                   1,            0.093491,            0.033972,            0.046262,            0.016648,            0.048119,            0.029708,          0.00070788,          0.00070788
                   8,            0.043566,            0.025033,             0.04801,             0.00444,                   1,             0.16627,            0.045263,            0.049182,            0.013696,            0.048733,            0.020797,          0.00079688,          0.00079688
                   9,             0.04333,            0.022817,            0.047585,             0.03079,                   1,             0.19017,            0.045766,            0.050115,            0.012397,            0.049156,            0.011886,           0.0008856,           0.0008856
                  10,            0.040829,            0.021306,            0.047596,             0.50472,             0.38701,             0.35186,            0.090305,            0.041546,            0.012451,            0.050293,            0.002974,          0.00097403,          0.00097403
                  11,             0.04352,            0.021119,            0.047704,             0.14096,             0.38053,             0.28124,             0.11612,            0.039953,            0.011961,            0.050575,          0.00099263,          0.00099263,          0.00099263
                  12,            0.040014,            0.019201,            0.047172,             0.14295,             0.57792,             0.25863,            0.076556,            0.049672,           0.0098758,            0.050865,          0.00099263,          0.00099263,          0.00099263
                  13,            0.042918,            0.015513,            0.047266,             0.12471,             0.71429,             0.21856,            0.090188,            0.041408,           0.0096421,            0.050842,          0.00099123,          0.00099123,          0.00099123
                  14,            0.042553,            0.015189,            0.047815,             0.34206,             0.73506,             0.26511,            0.081443,            0.045905,           0.0095768,            0.050781,          0.00098972,          0.00098972,          0.00098972
                  15,            0.043283,             0.01314,            0.047433,             0.30044,             0.61043,             0.19697,            0.089835,            0.042747,           0.0090485,            0.050026,          0.00098808,          0.00098808,          0.00098808
                  16,             0.04017,            0.014002,            0.047895,             0.13335,                 0.8,              0.2464,             0.11492,            0.038265,           0.0091605,            0.048977,          0.00098632,          0.00098632,          0.00098632
                  17,             0.03951,             0.01308,            0.047118,             0.13567,             0.82857,             0.28263,             0.14152,            0.035583,           0.0093665,            0.048306,          0.00098445,          0.00098445,          0.00098445
                  18,            0.037046,            0.010351,             0.04777,             0.13215,             0.77143,             0.29044,             0.14539,            0.035156,           0.0088897,            0.047947,          0.00098246,          0.00098246,          0.00098246
                  19,            0.037265,           0.0099201,            0.048023,             0.14477,                   1,             0.22491,             0.13073,            0.033202,           0.0084519,            0.047256,          0.00098035,          0.00098035,          0.00098035
                  20,            0.035863,            0.010325,            0.047185,             0.15735,             0.96049,             0.25597,             0.13557,            0.034341,           0.0077627,            0.047092,          0.00097812,          0.00097812,          0.00097812
                  21,             0.03553,           0.0097258,            0.047442,             0.17515,             0.97143,              0.2862,             0.14001,            0.039547,           0.0076871,            0.047283,          0.00097577,          0.00097577,          0.00097577
                  22,            0.034509,            0.010686,            0.047452,             0.17788,                   1,              0.3012,             0.15134,            0.033572,           0.0076475,            0.047379,          0.00097331,          0.00097331,          0.00097331
                  23,             0.03595,            0.010735,            0.047061,             0.18797,                   1,             0.26173,             0.11455,            0.044554,           0.0072236,            0.046589,          0.00097074,          0.00097074,          0.00097074
                  24,             0.03677,            0.010564,            0.047602,             0.18466,                   1,             0.29179,             0.15115,            0.035906,           0.0059578,            0.046387,          0.00096804,          0.00096804,          0.00096804
                  25,            0.034926,            0.008404,            0.046984,               0.187,             0.97143,              0.3207,             0.16874,            0.036807,           0.0055497,            0.046082,          0.00096524,          0.00096524,          0.00096524
                  26,            0.033496,           0.0084902,            0.047168,              0.1932,                   1,             0.34585,             0.15243,            0.035025,           0.0063734,            0.046467,          0.00096232,          0.00096232,          0.00096232
                  27,            0.037741,           0.0094412,            0.047261,             0.14119,                   1,             0.26734,             0.13299,            0.042776,            0.007369,            0.047146,          0.00095929,          0.00095929,          0.00095929
                  28,             0.03709,           0.0082482,             0.04674,             0.16938,                   1,             0.30063,             0.09166,            0.050278,           0.0070457,            0.046875,          0.00095614,          0.00095614,          0.00095614
                  29,            0.036936,           0.0090546,            0.047316,             0.19067,                   1,             0.31623,              0.1682,             0.03077,           0.0060077,            0.047016,          0.00095289,          0.00095289,          0.00095289
                  30,            0.037248,           0.0083413,            0.047074,             0.20368,             0.92718,             0.34138,             0.16868,            0.031943,           0.0056291,            0.047195,          0.00094952,          0.00094952,          0.00094952
                  31,            0.036669,           0.0091885,            0.047333,             0.19214,                   1,             0.29624,              0.1504,            0.034636,           0.0054426,            0.047226,          0.00094605,          0.00094605,          0.00094605
                  32,            0.037556,           0.0082644,            0.046958,             0.19529,                   1,             0.29531,             0.15311,            0.034511,           0.0054321,            0.047455,          0.00094246,          0.00094246,          0.00094246
                  33,            0.034603,           0.0082979,            0.047658,             0.18228,                   1,             0.34992,             0.11374,            0.042795,           0.0055981,             0.04776,          0.00093877,          0.00093877,          0.00093877
                  34,            0.034034,           0.0084537,            0.047299,              0.1949,                   1,             0.33632,             0.15974,            0.035563,           0.0056274,            0.048141,          0.00093497,          0.00093497,          0.00093497
                  35,            0.035808,           0.0091311,            0.047026,             0.19611,                   1,             0.26226,             0.14636,             0.03665,           0.0055976,            0.048237,          0.00093107,          0.00093107,          0.00093107
                  36,            0.032098,           0.0091736,            0.047315,             0.19338,                   1,               0.298,             0.13162,            0.037006,           0.0051875,            0.048538,          0.00092706,          0.00092706,          0.00092706
                  37,            0.033123,           0.0076099,            0.047378,             0.19651,                   1,             0.28062,             0.12964,            0.034761,           0.0049522,            0.048889,          0.00092294,          0.00092294,          0.00092294
                  38,            0.030665,           0.0084826,            0.046782,             0.19404,                   1,             0.26894,             0.12675,            0.038534,           0.0049567,            0.048939,          0.00091872,          0.00091872,          0.00091872
                  39,            0.032889,           0.0092592,            0.046832,             0.19536,                   1,             0.29788,             0.18251,             0.02686,           0.0047011,            0.049927,           0.0009144,           0.0009144,           0.0009144
                  40,            0.035162,           0.0076451,            0.047095,             0.19094,                   1,             0.30836,             0.15921,            0.035843,           0.0051494,            0.050068,          0.00090998,          0.00090998,          0.00090998
                  41,            0.034015,           0.0093155,            0.046775,             0.19406,                   1,             0.30949,             0.16075,            0.039663,           0.0048666,            0.049416,          0.00090546,          0.00090546,          0.00090546
                  42,            0.031337,           0.0075159,            0.047357,             0.19603,                   1,             0.28307,             0.15207,            0.035241,           0.0046358,            0.048752,          0.00090084,          0.00090084,          0.00090084
                  43,            0.030503,           0.0078099,            0.047238,             0.19678,                   1,             0.27945,             0.13815,            0.038975,           0.0047979,            0.048256,          0.00089613,          0.00089613,          0.00089613
                  44,            0.031026,           0.0080645,            0.047302,             0.19709,                   1,             0.27797,             0.16069,            0.032982,            0.004807,            0.047832,          0.00089131,          0.00089131,          0.00089131
                  45,            0.030723,           0.0081214,            0.046783,               0.197,                   1,             0.27042,             0.14357,            0.036119,           0.0047524,            0.047043,           0.0008864,           0.0008864,           0.0008864
                  46,            0.030179,           0.0075916,            0.046729,             0.19703,                   1,             0.26723,             0.14768,             0.03342,           0.0046031,            0.046371,           0.0008814,           0.0008814,           0.0008814
                  47,            0.030789,           0.0072517,            0.047203,             0.19738,                   1,             0.31271,             0.19871,            0.031545,           0.0042048,            0.045937,           0.0008763,           0.0008763,           0.0008763
                  48,            0.027931,           0.0079859,            0.047251,             0.19736,                   1,             0.30151,             0.19448,            0.027521,           0.0041823,            0.045902,          0.00087112,          0.00087112,          0.00087112
                  49,            0.030501,           0.0079842,            0.046832,             0.19519,                   1,             0.29551,             0.18865,            0.029545,           0.0044794,            0.045956,          0.00086584,          0.00086584,          0.00086584
                  50,            0.028945,           0.0070006,            0.046398,             0.19642,                   1,              0.2712,             0.15873,             0.03323,           0.0049114,            0.046204,          0.00086047,          0.00086047,          0.00086047
                  51,            0.030739,           0.0076483,            0.046777,             0.19415,                   1,              0.2722,              0.1067,             0.04259,           0.0055885,            0.046413,          0.00085502,          0.00085502,          0.00085502
                  52,            0.029998,           0.0075379,            0.046333,             0.19379,                   1,             0.27271,             0.14323,            0.034224,           0.0050352,             0.04649,          0.00084948,          0.00084948,          0.00084948
                  53,            0.029354,           0.0062514,            0.046559,             0.19607,                   1,             0.28178,             0.15237,            0.036885,           0.0044765,            0.046829,          0.00084385,          0.00084385,          0.00084385
                  54,            0.030355,           0.0080304,            0.047026,             0.19443,                   1,             0.33672,             0.17358,            0.037273,           0.0043254,            0.046993,          0.00083814,          0.00083814,          0.00083814
                  55,            0.029994,           0.0084329,            0.046723,             0.19689,                   1,             0.30957,             0.12966,            0.040791,           0.0043774,            0.047279,          0.00083235,          0.00083235,          0.00083235
                  56,            0.028898,           0.0080645,            0.046886,             0.19747,                   1,             0.28641,             0.13314,            0.037452,           0.0043395,              0.0476,          0.00082648,          0.00082648,          0.00082648
                  57,             0.03075,           0.0078802,               0.047,             0.19788,                   1,             0.29375,             0.17967,            0.028545,           0.0040405,            0.047707,          0.00082052,          0.00082052,          0.00082052
                  58,            0.030356,           0.0069783,            0.046692,             0.19805,                   1,             0.29807,             0.15953,            0.033221,           0.0041251,            0.047726,           0.0008145,           0.0008145,           0.0008145
                  59,                0.03,           0.0077933,            0.046727,              0.1974,                   1,             0.28345,              0.1516,            0.033185,           0.0040507,            0.047749,          0.00080839,          0.00080839,          0.00080839
                  60,            0.027859,           0.0075836,            0.046931,             0.19746,                   1,              0.2801,             0.14913,            0.033963,           0.0041237,            0.047958,          0.00080221,          0.00080221,          0.00080221
                  61,            0.027719,           0.0066548,            0.046527,             0.19723,                   1,             0.30828,             0.15949,            0.033302,            0.004102,            0.048035,          0.00079595,          0.00079595,          0.00079595
                  62,            0.027851,           0.0078349,            0.047464,             0.19716,                   1,             0.35183,             0.19651,            0.029305,           0.0039506,            0.048126,          0.00078963,          0.00078963,          0.00078963
                  63,             0.02657,           0.0074631,            0.047006,             0.19637,                   1,               0.321,             0.18728,            0.034549,           0.0041206,            0.048279,          0.00078323,          0.00078323,          0.00078323
                  64,            0.026988,           0.0059322,            0.047043,              0.1976,                   1,              0.3241,              0.1952,            0.031588,           0.0040047,            0.048412,          0.00077677,          0.00077677,          0.00077677
                  65,             0.02598,           0.0068477,            0.046893,             0.19739,                   1,             0.31327,             0.16742,            0.033657,             0.00389,            0.048386,          0.00077023,          0.00077023,          0.00077023
                  66,            0.026101,           0.0070602,            0.046776,             0.19766,                   1,             0.32174,             0.14666,            0.038648,           0.0041153,            0.047955,          0.00076364,          0.00076364,          0.00076364
                  67,             0.02521,           0.0066695,            0.046973,             0.19761,                   1,             0.32663,             0.19043,            0.029397,           0.0039799,            0.047321,          0.00075698,          0.00075698,          0.00075698
                  68,            0.026493,           0.0066948,            0.046549,             0.19774,                   1,             0.31838,             0.15267,             0.03762,           0.0042562,             0.04697,          0.00075025,          0.00075025,          0.00075025
                  69,            0.025634,           0.0064924,            0.046946,             0.19757,                   1,             0.31581,             0.19084,            0.028659,           0.0040581,            0.046703,          0.00074347,          0.00074347,          0.00074347
                  70,            0.026848,            0.007095,            0.046571,             0.19774,                   1,             0.30736,             0.18897,            0.031065,           0.0041132,            0.046303,          0.00073663,          0.00073663,          0.00073663
                  71,            0.028542,           0.0067442,            0.046649,             0.19796,                   1,             0.31622,             0.18664,            0.031883,           0.0038626,            0.045498,          0.00072973,          0.00072973,          0.00072973
                  72,            0.025967,           0.0062734,            0.046841,             0.18753,                   1,               0.303,             0.19169,            0.025495,           0.0036423,             0.04533,          0.00072277,          0.00072277,          0.00072277
                  73,            0.027835,           0.0071876,            0.046724,             0.19671,                   1,             0.30435,             0.16166,            0.030997,           0.0037577,            0.045258,          0.00071576,          0.00071576,          0.00071576
                  74,            0.026135,           0.0065252,            0.046443,             0.19821,                   1,             0.32683,             0.17225,            0.033058,           0.0039337,            0.045326,           0.0007087,           0.0007087,           0.0007087
                  75,            0.027919,           0.0068878,            0.046572,             0.19864,                   1,             0.33348,             0.17545,            0.031453,           0.0038247,            0.045494,          0.00070159,          0.00070159,          0.00070159
                  76,            0.024999,           0.0066185,            0.046598,              0.1983,                   1,              0.3145,             0.13807,            0.037691,            0.004072,            0.045647,          0.00069443,          0.00069443,          0.00069443
                  77,            0.024897,           0.0071771,            0.046352,             0.19713,             0.97143,             0.31392,             0.18161,            0.030353,           0.0039318,            0.046051,          0.00068722,          0.00068722,          0.00068722
                  78,            0.026886,           0.0073868,            0.046323,             0.20241,             0.90575,             0.33915,             0.20198,            0.030153,           0.0041187,            0.046432,          0.00067997,          0.00067997,          0.00067997
                  79,            0.026002,           0.0066253,            0.046382,             0.19582,                   1,             0.35126,              0.2027,            0.027702,           0.0038681,            0.046818,          0.00067268,          0.00067268,          0.00067268
                  80,            0.025402,           0.0077411,            0.045921,              0.1969,                   1,             0.33789,             0.19943,            0.028543,           0.0039413,            0.046883,          0.00066534,          0.00066534,          0.00066534
                  81,            0.025299,           0.0069549,            0.046716,             0.19784,                   1,             0.32771,             0.19684,            0.027814,            0.003993,            0.047031,          0.00065796,          0.00065796,          0.00065796
                  82,            0.026535,           0.0065974,             0.04625,             0.19722,                   1,             0.39158,             0.25337,             0.02367,           0.0037146,            0.047352,          0.00065055,          0.00065055,          0.00065055
                  83,            0.025742,           0.0075119,            0.046409,             0.19687,                   1,             0.48137,             0.29409,            0.027004,           0.0037291,            0.047611,           0.0006431,           0.0006431,           0.0006431
                  84,            0.026461,           0.0068164,            0.046242,               0.197,                   1,             0.46826,             0.31343,             0.02708,           0.0038142,            0.047691,          0.00063562,          0.00063562,          0.00063562
                  85,            0.025827,           0.0067183,            0.045786,             0.19653,                   1,             0.48241,             0.30614,            0.030347,           0.0038033,             0.04781,           0.0006281,           0.0006281,           0.0006281
                  86,            0.025944,           0.0070596,            0.045684,             0.19629,                   1,             0.47747,             0.27825,            0.032895,           0.0040433,            0.047836,          0.00062056,          0.00062056,          0.00062056
                  87,            0.028247,           0.0075122,            0.045241,              0.1981,                   1,             0.47519,             0.29457,            0.026567,           0.0040138,             0.04789,          0.00061298,          0.00061298,          0.00061298
                  88,             0.02636,            0.007384,             0.04589,             0.18529,              0.9271,             0.48385,             0.29358,            0.030903,           0.0040267,            0.047844,          0.00060538,          0.00060538,          0.00060538
                  89,            0.025626,           0.0070064,            0.045451,             0.19306,             0.90909,             0.50376,             0.29376,            0.030807,           0.0040882,            0.047585,          0.00059775,          0.00059775,          0.00059775
                  90,             0.02717,            0.007703,             0.04494,             0.18445,             0.90909,             0.49911,             0.32301,            0.022172,           0.0037303,            0.047375,           0.0005901,           0.0005901,           0.0005901
                  91,            0.029154,            0.006172,            0.045348,             0.19991,                   1,             0.45804,             0.29314,            0.023337,           0.0036435,             0.04747,          0.00058244,          0.00058244,          0.00058244
                  92,            0.025987,           0.0063399,            0.044932,              0.1989,                   1,             0.46669,             0.22737,            0.036221,           0.0039783,             0.04771,          0.00057475,          0.00057475,          0.00057475
                  93,            0.027103,           0.0066649,            0.044813,             0.19846,                   1,             0.47215,             0.25144,            0.034464,           0.0039816,             0.04752,          0.00056704,          0.00056704,          0.00056704
                  94,            0.027239,           0.0067895,            0.045587,             0.19914,                   1,             0.44955,             0.28624,            0.026804,           0.0036409,            0.047203,          0.00055932,          0.00055932,          0.00055932
                  95,            0.025743,           0.0067333,            0.044289,              0.1986,                   1,             0.45093,             0.27232,            0.033069,           0.0039539,            0.046879,          0.00055158,          0.00055158,          0.00055158
                  96,            0.025655,           0.0063924,            0.045432,             0.20111,                   1,             0.48623,             0.26116,             0.03773,           0.0041046,            0.046665,          0.00054384,          0.00054384,          0.00054384
                  97,            0.024384,           0.0069911,            0.044956,             0.20412,                   1,             0.50279,             0.27848,            0.035122,           0.0042531,            0.046368,          0.00053608,          0.00053608,          0.00053608
                  98,            0.025544,           0.0061322,             0.04453,               0.208,                   1,             0.47074,             0.26516,            0.032617,           0.0039833,            0.046215,          0.00052832,          0.00052832,          0.00052832
                  99,            0.023804,           0.0059944,            0.044559,             0.28588,             0.53288,             0.49098,             0.29633,            0.029421,           0.0038414,            0.045826,          0.00052055,          0.00052055,          0.00052055
                 100,            0.026529,            0.006756,            0.044155,              0.2723,             0.56591,             0.49138,             0.26808,             0.02937,           0.0038183,             0.04541,          0.00051278,          0.00051278,          0.00051278
                 101,            0.024512,           0.0072467,            0.044416,             0.33161,             0.60043,             0.50032,             0.32116,             0.02467,            0.003649,            0.045124,            0.000505,            0.000505,            0.000505
                 102,            0.024646,           0.0066292,            0.043924,             0.38282,             0.59448,             0.49959,             0.33356,             0.02517,           0.0036981,            0.044918,          0.00049722,          0.00049722,          0.00049722
                 103,            0.025266,           0.0072743,            0.043471,             0.37145,             0.58023,             0.48041,              0.2935,            0.033856,           0.0040703,            0.044834,          0.00048945,          0.00048945,          0.00048945
                 104,            0.024367,           0.0069297,            0.044102,             0.40261,             0.63759,             0.48446,             0.32983,             0.02642,            0.003756,            0.044678,          0.00048168,          0.00048168,          0.00048168
                 105,            0.022253,           0.0066262,            0.044314,             0.41174,             0.67443,             0.49368,              0.3333,            0.023765,           0.0035303,            0.044624,          0.00047392,          0.00047392,          0.00047392
                 106,            0.024869,           0.0059799,            0.042977,             0.40054,             0.65206,             0.50557,              0.3533,            0.023686,           0.0036056,            0.044579,          0.00046616,          0.00046616,          0.00046616
                 107,            0.026359,           0.0072591,             0.04277,             0.39394,             0.63671,             0.51697,             0.35393,            0.026377,           0.0037041,            0.044312,          0.00045842,          0.00045842,          0.00045842
                 108,            0.024209,           0.0067033,            0.041877,             0.39094,             0.62683,             0.50492,             0.28356,            0.031311,           0.0038064,            0.043949,          0.00045068,          0.00045068,          0.00045068
                 109,            0.023299,           0.0069046,            0.042081,             0.38965,             0.65162,             0.50465,             0.31702,            0.027341,           0.0037401,            0.043594,          0.00044296,          0.00044296,          0.00044296
                 110,            0.023407,           0.0065178,            0.042948,             0.39092,             0.65162,             0.50421,             0.33269,            0.027176,           0.0038428,            0.043484,          0.00043525,          0.00043525,          0.00043525
                 111,            0.024249,           0.0066825,            0.043026,             0.38987,             0.68019,             0.50112,             0.31957,            0.030041,           0.0039849,            0.043335,          0.00042756,          0.00042756,          0.00042756
                 112,            0.022211,           0.0063447,            0.042152,             0.38671,             0.68019,             0.51331,             0.33046,            0.025162,           0.0037341,            0.043064,           0.0004199,           0.0004199,           0.0004199
                 113,            0.023677,           0.0057935,            0.041277,             0.40226,             0.68019,             0.50637,             0.31034,            0.024737,           0.0037465,            0.042763,          0.00041225,          0.00041225,          0.00041225
                 114,            0.023367,           0.0065695,            0.042248,             0.40227,             0.62305,             0.49559,             0.30443,            0.026755,           0.0038955,            0.042751,          0.00040462,          0.00040462,          0.00040462
                 115,            0.023767,           0.0063336,            0.040028,             0.38502,             0.65162,             0.50959,             0.33484,            0.025613,            0.003778,            0.042755,          0.00039702,          0.00039702,          0.00039702
                 116,            0.021577,            0.006166,            0.039242,             0.36951,             0.63878,             0.50695,             0.31994,            0.026417,           0.0037498,            0.042809,          0.00038944,          0.00038944,          0.00038944
                 117,            0.022503,           0.0059115,            0.039883,             0.39302,             0.75169,             0.51652,             0.33199,            0.026678,           0.0037878,            0.042862,           0.0003819,           0.0003819,           0.0003819
                 118,            0.023786,           0.0062567,            0.038471,             0.38927,             0.77662,             0.51971,             0.33645,            0.027873,           0.0038176,            0.042789,          0.00037438,          0.00037438,          0.00037438
                 119,             0.02199,           0.0061076,            0.039816,             0.37564,             0.76766,             0.54487,             0.31606,            0.030527,           0.0038812,            0.042671,           0.0003669,           0.0003669,           0.0003669
                 120,            0.023775,           0.0069606,            0.039729,             0.36392,             0.78022,             0.54202,             0.32534,             0.02722,           0.0038047,            0.042675,          0.00035945,          0.00035945,          0.00035945
                 121,            0.024569,           0.0069763,            0.038756,             0.36601,             0.80519,             0.53393,             0.36871,            0.022678,           0.0037112,            0.042675,          0.00035204,          0.00035204,          0.00035204
                 122,            0.024185,           0.0063923,            0.038047,             0.35285,             0.80519,             0.52429,             0.35906,            0.024579,           0.0037103,            0.042297,          0.00034466,          0.00034466,          0.00034466
                 123,            0.023326,           0.0060466,            0.038292,             0.37346,             0.77662,             0.52946,             0.31057,            0.032465,           0.0039346,             0.04184,          0.00033732,          0.00033732,          0.00033732
                 124,            0.023684,           0.0059935,            0.036618,             0.37242,             0.77662,             0.53631,             0.35217,            0.027727,           0.0038202,            0.041676,          0.00033003,          0.00033003,          0.00033003
                 125,            0.024657,           0.0071908,            0.036762,             0.36134,             0.77662,              0.5533,             0.37698,             0.02579,           0.0038168,            0.041447,          0.00032278,          0.00032278,          0.00032278
                 126,            0.023568,           0.0063013,            0.037459,             0.32867,             0.89091,             0.53871,             0.32991,            0.031548,           0.0039873,            0.041405,          0.00031557,          0.00031557,          0.00031557
                 127,            0.023399,           0.0065385,            0.038399,             0.31363,             0.89091,             0.52101,             0.27387,            0.037292,            0.004184,            0.041302,          0.00030841,          0.00030841,          0.00030841
                 128,            0.024226,           0.0064672,            0.038027,             0.34432,             0.86234,             0.53493,             0.29987,            0.029166,           0.0040174,            0.040962,           0.0003013,           0.0003013,           0.0003013
                 129,             0.02419,           0.0057677,            0.036658,             0.36421,             0.77662,             0.55178,             0.32463,            0.025873,           0.0039723,            0.040859,          0.00029424,          0.00029424,          0.00029424
                 130,            0.022559,           0.0068938,            0.034812,             0.31786,             0.77662,             0.54657,             0.33277,            0.027778,           0.0039403,            0.041107,          0.00028723,          0.00028723,          0.00028723
                 131,            0.022707,           0.0061193,            0.037233,              0.3558,             0.77662,             0.54341,             0.35518,             0.02894,           0.0039616,            0.040974,          0.00028027,          0.00028027,          0.00028027
                 132,             0.02283,           0.0065725,            0.036282,             0.36829,             0.86234,             0.54632,              0.3778,            0.025379,           0.0038824,            0.040882,          0.00027337,          0.00027337,          0.00027337
                 133,            0.022348,           0.0063721,            0.035626,              0.3614,             0.92614,             0.50138,             0.34339,            0.024269,           0.0037787,             0.04092,          0.00026653,          0.00026653,          0.00026653
                 134,             0.02173,           0.0064822,            0.037077,             0.37351,                   1,             0.48345,             0.31876,            0.026487,           0.0037618,            0.040874,          0.00025975,          0.00025975,          0.00025975
