               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086156,            0.025546,            0.064156,          3.6501e-05,            0.034965,          3.9725e-05,          1.6699e-05,            0.065595,           0.0086338,            0.046124,             0.08218,             0.00018,             0.00018
                   1,            0.068702,            0.027031,            0.060824,          0.00026102,             0.12908,           0.0041861,           0.0014251,            0.061704,           0.0094846,             0.04369,             0.06337,          0.00036998,          0.00036998
                   2,            0.062539,            0.025658,            0.060049,           0.0020426,             0.51105,            0.037292,           0.0086337,             0.05116,            0.010335,            0.043607,             0.04456,          0.00055986,          0.00055986
                   3,            0.056991,            0.026979,            0.058793,           0.0076791,              0.5264,            0.026235,           0.0055472,            0.058078,           0.0091705,            0.043293,             0.02575,          0.00074959,          0.00074959
                   4,            0.056052,            0.023766,             0.05755,             0.40626,             0.11207,             0.10723,            0.026501,            0.039546,            0.012269,            0.038929,           0.0069391,          0.00093908,          0.00093908
                   5,            0.054749,            0.023963,             0.05739,              0.6444,              0.0331,             0.02018,           0.0034172,            0.052518,            0.009709,            0.039959,          0.00099847,          0.00099847,          0.00099847
                   6,            0.051682,            0.022003,            0.057864,             0.25129,             0.39716,             0.19328,            0.045899,            0.039041,            0.011737,            0.038487,          0.00099847,          0.00099847,          0.00099847
                   7,            0.047961,            0.021557,            0.056162,             0.33218,             0.50571,             0.24704,             0.10375,            0.032862,            0.011379,            0.038907,           0.0009978,           0.0009978,           0.0009978
                   8,            0.048919,             0.01832,            0.056979,             0.35756,             0.55029,             0.24332,            0.091731,            0.029297,           0.0088246,            0.038521,          0.00099701,          0.00099701,          0.00099701
                   9,            0.045724,            0.017039,            0.054922,             0.35357,             0.61067,             0.32328,             0.10984,             0.02961,           0.0099598,            0.038084,           0.0009961,           0.0009961,           0.0009961
                  10,            0.047138,            0.017327,            0.053502,             0.32915,             0.38147,             0.20032,            0.094438,             0.03498,           0.0094342,            0.037732,          0.00099506,          0.00099506,          0.00099506
