               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083219,            0.010689,            0.026569,            0.057143,           0.0047059,            0.029481,           0.0073487,            0.099006,           0.0062725,            0.030803,              0.0766,              0.0026,              0.0026
                   1,            0.071793,           0.0089511,            0.025771,          0.00036157,            0.051765,          0.00022813,          6.9434e-05,             0.10767,           0.0065709,            0.034486,              0.0523,           0.0052997,           0.0052997
                   2,            0.064473,           0.0084934,            0.025407,             0.42814,            0.076471,            0.028915,           0.0064102,             0.08599,            0.008866,            0.031452,            0.027998,           0.0079982,           0.0079982
                   3,            0.061799,           0.0077617,            0.025573,              0.8148,            0.088235,           0.0089939,           0.0025791,                 nan,                 nan,             0.18728,            0.009995,            0.009995,            0.009995
                   4,            0.060175,           0.0072839,              0.0253,             0.82516,            0.041176,            0.018898,           0.0044309,            0.072927,            0.029723,            0.033849,            0.009995,            0.009995,            0.009995
                   5,            0.058139,           0.0066565,            0.025021,             0.61252,            0.029412,           0.0073575,            0.001419,            0.090915,           0.0072812,            0.036519,           0.0099911,           0.0099911,           0.0099911
                   6,            0.056091,           0.0061281,            0.024901,             0.22304,            0.041176,            0.013001,           0.0027728,                 nan,                 nan,            0.060782,           0.0099861,           0.0099861,           0.0099861
                   7,              0.0558,           0.0061137,            0.024533,            0.043794,             0.36235,              0.0382,           0.0097015,            0.078127,           0.0074955,             0.04893,             0.00998,             0.00998,             0.00998
                   8,             0.05226,           0.0062899,             0.02436,             0.03379,             0.28824,            0.041169,            0.011155,            0.066766,                 nan,            0.035549,           0.0099728,           0.0099728,           0.0099728
                   9,            0.053543,           0.0061445,            0.024256,             0.01637,             0.20845,            0.012632,           0.0031703,            0.076343,             0.01051,            0.035488,           0.0099645,           0.0099645,           0.0099645
                  10,            0.052427,           0.0059157,            0.024124,             0.02423,             0.20471,            0.018784,            0.004281,            0.077044,           0.0086107,              0.0333,           0.0099551,           0.0099551,           0.0099551
                  11,            0.051359,            0.005773,            0.024685,            0.032547,             0.41412,            0.056567,            0.016507,            0.061175,           0.0074563,            0.034999,           0.0099446,           0.0099446,           0.0099446
                  12,            0.051163,           0.0056275,            0.024092,            0.039107,              0.1394,             0.04593,            0.012794,            0.068019,           0.0074579,            0.032065,            0.009933,            0.009933,            0.009933
                  13,            0.049949,           0.0056347,            0.023735,            0.080207,             0.57765,            0.082886,            0.024626,            0.061666,           0.0058272,            0.032546,           0.0099203,           0.0099203,           0.0099203
                  14,            0.049533,              0.0056,             0.02401,            0.041299,             0.38706,             0.05153,            0.014009,            0.067781,           0.0078091,            0.033848,           0.0099065,           0.0099065,           0.0099065
                  15,            0.048807,           0.0056724,             0.02352,            0.034712,             0.24941,             0.03055,           0.0076337,            0.075154,           0.0051507,            0.032384,           0.0098916,           0.0098916,           0.0098916
                  16,            0.049523,           0.0056151,            0.023005,            0.061437,             0.35412,            0.062304,            0.014024,            0.075808,           0.0047918,            0.034765,           0.0098757,           0.0098757,           0.0098757
                  17,            0.048339,           0.0054528,            0.023383,            0.059843,             0.46192,            0.075101,            0.020786,            0.058775,             0.00783,            0.031035,           0.0098586,           0.0098586,           0.0098586
                  18,            0.049032,           0.0056089,            0.022476,            0.071001,             0.47294,            0.099058,            0.025793,            0.064492,           0.0052974,            0.036702,           0.0098405,           0.0098405,           0.0098405
                  19,            0.048796,           0.0054269,            0.022402,             0.04196,             0.26235,            0.038298,           0.0092087,            0.074725,           0.0059442,             0.03554,           0.0098213,           0.0098213,           0.0098213
                  20,            0.046263,           0.0055288,            0.022762,            0.084621,             0.50118,            0.096674,            0.028512,            0.062642,           0.0052181,            0.034963,           0.0098011,           0.0098011,           0.0098011
                  21,            0.046247,           0.0053816,            0.023238,            0.061369,                0.36,            0.071945,            0.020325,            0.065556,           0.0060998,            0.030865,           0.0097798,           0.0097798,           0.0097798
                  22,             0.04483,           0.0053904,            0.021763,            0.059753,             0.35412,            0.074778,            0.024696,            0.071206,            0.005643,             0.03255,           0.0097574,           0.0097574,           0.0097574
                  23,            0.045538,           0.0053223,            0.021786,             0.11796,             0.61266,             0.12404,            0.034794,            0.055583,           0.0072547,            0.030319,            0.009734,            0.009734,            0.009734
                  24,            0.044079,           0.0054333,            0.020598,            0.092583,             0.39676,             0.11105,            0.044674,             0.05974,            0.006135,            0.036784,           0.0097095,           0.0097095,           0.0097095
                  25,            0.044907,           0.0052249,             0.02122,             0.11666,             0.37765,               0.171,            0.062831,            0.065915,           0.0047483,             0.03455,            0.009684,            0.009684,            0.009684
                  26,            0.044542,           0.0052761,            0.020716,             0.16531,                0.36,              0.1326,            0.044243,            0.062379,           0.0048264,              0.0342,           0.0096575,           0.0096575,           0.0096575
                  27,            0.044712,           0.0052063,            0.020133,            0.089449,             0.10941,            0.087708,            0.024134,            0.068187,           0.0064352,            0.035446,           0.0096299,           0.0096299,           0.0096299
                  28,            0.046199,           0.0053089,            0.020022,            0.055346,             0.29201,            0.049027,            0.012604,            0.071095,           0.0052326,            0.036353,           0.0096013,           0.0096013,           0.0096013
                  29,            0.045084,           0.0053875,            0.020148,            0.066975,             0.35412,            0.087811,              0.0222,            0.069001,            0.005129,            0.038837,           0.0095717,           0.0095717,           0.0095717
                  30,            0.043891,            0.005263,            0.019177,            0.089012,             0.44235,             0.14551,            0.046741,              0.0583,           0.0049722,            0.034775,           0.0095411,           0.0095411,           0.0095411
                  31,            0.044689,            0.005139,            0.018702,             0.10091,             0.46353,             0.12594,            0.047876,            0.059228,           0.0045881,            0.036821,           0.0095095,           0.0095095,           0.0095095
                  32,            0.042708,           0.0050679,            0.018513,             0.12123,             0.18471,             0.14141,            0.058253,            0.057277,           0.0067812,            0.038786,           0.0094769,           0.0094769,           0.0094769
                  33,            0.045352,           0.0052395,            0.019874,            0.080652,             0.36786,            0.086366,            0.028736,            0.057093,           0.0045782,            0.041253,           0.0094434,           0.0094434,           0.0094434
                  34,            0.045083,           0.0050748,            0.018955,             0.11241,                0.38,             0.11032,            0.028547,            0.066516,           0.0048312,            0.032899,           0.0094088,           0.0094088,           0.0094088
                  35,            0.043856,           0.0051281,            0.017808,             0.10829,             0.35412,             0.10819,            0.037477,            0.065164,            0.004688,            0.034815,           0.0093733,           0.0093733,           0.0093733
                  36,            0.042389,           0.0050345,             0.01706,            0.094464,             0.35176,             0.12527,            0.038862,            0.064189,           0.0044111,            0.035914,           0.0093369,           0.0093369,           0.0093369
                  37,            0.043069,            0.004859,            0.016878,            0.082549,             0.20588,              0.1138,            0.036194,            0.069166,             0.00504,             0.03234,           0.0092995,           0.0092995,           0.0092995
                  38,            0.043277,            0.005018,            0.016994,             0.19954,             0.38053,             0.24345,             0.06275,            0.064151,           0.0042775,            0.032317,           0.0092611,           0.0092611,           0.0092611
                  39,            0.043342,           0.0049345,            0.015801,             0.11642,             0.39819,             0.20008,            0.057756,             0.06312,           0.0043492,            0.033562,           0.0092219,           0.0092219,           0.0092219
                  40,            0.041909,           0.0050207,             0.01597,             0.17112,             0.32082,             0.16908,            0.050912,            0.056127,           0.0052306,            0.039431,           0.0091817,           0.0091817,           0.0091817
                  41,            0.042925,           0.0049032,            0.015321,            0.086375,             0.18588,            0.098699,            0.028234,            0.068399,           0.0048454,            0.034982,           0.0091406,           0.0091406,           0.0091406
                  42,            0.042972,           0.0049704,            0.014051,             0.12618,             0.29176,             0.11591,            0.039171,            0.057964,           0.0046348,            0.038729,           0.0090986,           0.0090986,           0.0090986
                  43,            0.042577,           0.0049321,            0.015385,             0.25872,             0.32538,             0.24252,            0.080551,             0.05505,           0.0042035,            0.034942,           0.0090557,           0.0090557,           0.0090557
                  44,            0.044092,           0.0049458,            0.014435,             0.22422,             0.24395,             0.17896,            0.047291,            0.058412,            0.004683,            0.041441,           0.0090119,           0.0090119,           0.0090119
                  45,            0.043105,           0.0048642,            0.014662,             0.20511,             0.26824,             0.17715,            0.052598,             0.06376,           0.0043522,            0.036582,           0.0089673,           0.0089673,           0.0089673
                  46,            0.044634,           0.0048273,            0.014481,             0.18203,             0.23493,             0.13307,            0.035513,              0.0629,           0.0052204,             0.03213,           0.0089218,           0.0089218,           0.0089218
                  47,            0.042339,           0.0049998,            0.013902,             0.27921,             0.37161,             0.22209,            0.066158,            0.059839,           0.0046845,            0.048537,           0.0088755,           0.0088755,           0.0088755
                  48,            0.042152,           0.0048891,            0.013177,             0.10451,             0.21331,             0.13192,            0.039785,            0.065937,           0.0042741,             0.03486,           0.0088283,           0.0088283,           0.0088283
                  49,            0.041623,            0.004691,            0.012121,             0.18463,             0.29412,             0.18618,            0.058108,            0.061066,           0.0045969,             0.03842,           0.0087804,           0.0087804,           0.0087804
                  50,            0.040762,           0.0047094,            0.012482,             0.65053,             0.21782,             0.18024,            0.050416,            0.066012,           0.0048571,            0.037991,           0.0087316,           0.0087316,           0.0087316
                  51,            0.039824,            0.004613,            0.012001,             0.30045,             0.24941,             0.26368,            0.075596,            0.059609,           0.0041243,            0.026472,            0.008682,            0.008682,            0.008682
                  52,            0.040066,           0.0046258,            0.012461,             0.19984,             0.12096,              0.1382,            0.036786,            0.069233,           0.0042324,            0.040274,           0.0086316,           0.0086316,           0.0086316
                  53,            0.041576,           0.0047659,            0.011997,             0.35015,             0.23529,             0.24902,            0.065728,            0.063564,           0.0043831,            0.037097,           0.0085805,           0.0085805,           0.0085805
                  54,            0.043034,            0.004652,            0.011892,             0.16067,             0.30824,             0.15434,             0.04912,            0.068361,           0.0042528,            0.040974,           0.0085286,           0.0085286,           0.0085286
                  55,            0.040538,           0.0047134,             0.01137,             0.21155,             0.36588,             0.27969,            0.086076,            0.054545,           0.0041912,            0.042413,           0.0084759,           0.0084759,           0.0084759
                  56,            0.040564,           0.0047477,            0.011386,             0.22317,             0.30824,             0.24552,            0.080467,            0.052613,           0.0055584,            0.038754,           0.0084225,           0.0084225,           0.0084225
                  57,            0.039862,           0.0047627,            0.010801,             0.22923,             0.30118,             0.22904,            0.067891,            0.052539,           0.0045103,            0.039744,           0.0083684,           0.0083684,           0.0083684
                  58,            0.038568,           0.0044455,            0.010032,             0.32818,             0.32824,             0.26284,            0.080375,             0.05294,           0.0042357,            0.037935,           0.0083136,           0.0083136,           0.0083136
                  59,            0.040494,           0.0044492,              0.0102,             0.26574,             0.41589,             0.27776,            0.098692,            0.050995,           0.0043617,            0.045245,           0.0082581,           0.0082581,           0.0082581
                  60,            0.039185,           0.0045386,            0.010573,             0.44678,             0.23882,              0.2103,            0.065139,            0.058572,           0.0043199,            0.038656,           0.0082019,           0.0082019,           0.0082019
                  61,            0.038598,           0.0045134,            0.010377,             0.56954,             0.28471,             0.32283,             0.11047,            0.052394,           0.0043209,            0.038292,            0.008145,            0.008145,            0.008145
                  62,            0.039192,           0.0044359,           0.0098541,             0.28712,              0.3178,             0.27668,              0.1016,            0.046692,           0.0041146,            0.059649,           0.0080875,           0.0080875,           0.0080875
                  63,            0.039755,           0.0044748,           0.0098148,             0.31414,             0.35294,             0.23465,            0.078377,            0.056166,           0.0040093,            0.046833,           0.0080294,           0.0080294,           0.0080294
                  64,            0.040326,           0.0043995,           0.0098862,             0.27757,             0.35176,             0.23302,            0.048495,            0.069735,           0.0048364,            0.046365,           0.0079706,           0.0079706,           0.0079706
                  65,            0.039772,           0.0044719,           0.0092683,             0.40778,             0.26727,             0.24214,            0.085431,            0.062505,            0.004434,              0.0327,           0.0079112,           0.0079112,           0.0079112
                  66,            0.039826,           0.0044703,            0.008761,             0.28537,             0.33558,             0.23724,            0.076482,            0.059943,           0.0040653,            0.035432,           0.0078512,           0.0078512,           0.0078512
                  67,            0.037972,           0.0043865,            0.008689,             0.29731,             0.32706,             0.19683,             0.04877,            0.063348,           0.0042629,            0.042604,           0.0077907,           0.0077907,           0.0077907
                  68,            0.038286,           0.0043522,           0.0088925,             0.38609,             0.51302,             0.39104,             0.12502,            0.052177,           0.0039317,            0.036056,           0.0077296,           0.0077296,           0.0077296
                  69,             0.03828,           0.0044122,           0.0084358,             0.30979,             0.32824,             0.28205,             0.10104,            0.057673,           0.0041898,            0.037471,           0.0076679,           0.0076679,           0.0076679
                  70,            0.038764,           0.0044262,           0.0082456,             0.28946,             0.28235,             0.23776,            0.064485,            0.057843,           0.0041565,            0.042672,           0.0076057,           0.0076057,           0.0076057
                  71,            0.038397,           0.0043116,           0.0083826,             0.48502,             0.24824,             0.32237,            0.096193,            0.063297,           0.0041361,            0.040684,            0.007543,            0.007543,            0.007543
                  72,            0.037466,           0.0044236,           0.0086961,             0.28176,             0.37434,             0.21977,            0.086286,             0.05957,            0.003946,            0.042278,           0.0074797,           0.0074797,           0.0074797
                  73,            0.038644,           0.0043814,           0.0070328,             0.63612,             0.41229,             0.41328,              0.1726,            0.044799,           0.0045141,            0.037489,            0.007416,            0.007416,            0.007416
                  74,              0.0403,           0.0043342,           0.0071063,             0.23515,             0.31636,             0.22308,            0.085503,            0.058661,           0.0042274,            0.041352,           0.0073518,           0.0073518,           0.0073518
                  75,            0.038673,           0.0043053,           0.0069806,             0.36778,             0.52941,             0.42705,             0.14526,            0.051666,           0.0039647,            0.041965,           0.0072872,           0.0072872,           0.0072872
                  76,            0.037905,           0.0041377,           0.0073565,             0.30483,                0.28,             0.29191,            0.085276,            0.057366,           0.0042456,            0.036717,           0.0072221,           0.0072221,           0.0072221
                  77,            0.038663,           0.0042804,           0.0071245,             0.24221,             0.35644,             0.21371,            0.068327,            0.066422,            0.004168,            0.037833,           0.0071566,           0.0071566,           0.0071566
                  78,            0.039385,            0.004345,           0.0068402,              0.2666,             0.41412,             0.28536,            0.095668,            0.053379,           0.0049963,            0.050948,           0.0070906,           0.0070906,           0.0070906
                  79,            0.039728,           0.0044621,           0.0063303,             0.32162,             0.47998,             0.36566,             0.13063,            0.052707,           0.0042344,            0.050664,           0.0070243,           0.0070243,           0.0070243
                  80,            0.038342,           0.0043477,           0.0056495,             0.19185,             0.29412,             0.15159,            0.053647,            0.069667,           0.0041957,            0.043817,           0.0069576,           0.0069576,           0.0069576
                  81,            0.037865,           0.0041896,           0.0051312,             0.63065,             0.25176,             0.31408,             0.08352,            0.061125,           0.0041004,            0.037166,           0.0068906,           0.0068906,           0.0068906
                  82,            0.037293,           0.0043354,           0.0059691,             0.31546,             0.46244,              0.3428,             0.10702,            0.056137,            0.004173,            0.051371,           0.0068232,           0.0068232,           0.0068232
                  83,            0.036792,           0.0042966,           0.0050716,             0.46888,             0.33737,             0.39645,             0.14342,            0.047342,           0.0040091,            0.055782,           0.0067555,           0.0067555,           0.0067555
                  84,            0.036858,           0.0043108,           0.0050152,             0.46635,             0.62133,             0.47558,             0.15169,            0.051167,           0.0041276,            0.043017,           0.0066874,           0.0066874,           0.0066874
                  85,            0.035468,           0.0041868,           0.0048396,             0.26353,             0.50588,             0.29156,            0.083786,            0.056441,           0.0040684,            0.041206,           0.0066191,           0.0066191,           0.0066191
                  86,             0.03573,           0.0040485,           0.0041359,             0.40728,             0.64824,             0.49234,             0.17084,            0.046943,           0.0041303,            0.043843,           0.0065505,           0.0065505,           0.0065505
                  87,            0.036476,           0.0041688,           0.0038657,             0.53963,             0.41059,             0.43863,             0.15611,            0.050796,           0.0042144,            0.049853,           0.0064816,           0.0064816,           0.0064816
                  88,             0.03528,           0.0040738,            0.004177,             0.29081,                0.42,              0.3052,             0.10174,            0.058941,            0.004088,            0.057333,           0.0064125,           0.0064125,           0.0064125
                  89,            0.037122,           0.0042222,           0.0033281,             0.60313,             0.26922,             0.36269,              0.1365,            0.054786,           0.0040129,            0.060978,           0.0063432,           0.0063432,           0.0063432
                  90,            0.036339,           0.0041945,           0.0033991,             0.62487,             0.32377,              0.4181,              0.1367,            0.050147,           0.0041414,            0.059231,           0.0062737,           0.0062737,           0.0062737
                  91,            0.035939,           0.0040651,           0.0034387,             0.40974,             0.53168,             0.42236,             0.13171,            0.055039,           0.0038906,             0.03839,            0.006204,            0.006204,            0.006204
                  92,            0.036286,           0.0041354,             0.00321,             0.40782,             0.26403,             0.25785,            0.074273,            0.057292,            0.004076,            0.049216,           0.0061341,           0.0061341,           0.0061341
                  93,            0.035686,           0.0042204,           0.0031861,             0.50712,             0.37647,             0.42122,             0.12255,            0.052834,           0.0043961,            0.043957,            0.006064,            0.006064,            0.006064
                  94,            0.035164,           0.0040423,           0.0034529,             0.27465,             0.48824,             0.28279,            0.075371,            0.059914,           0.0038305,            0.048558,           0.0059938,           0.0059938,           0.0059938
                  95,            0.035043,           0.0040496,           0.0036317,             0.54363,             0.27292,             0.31121,            0.081794,            0.062882,           0.0039155,            0.061568,           0.0059235,           0.0059235,           0.0059235
                  96,            0.035974,           0.0041097,           0.0029394,              0.4442,             0.33647,             0.27031,            0.096494,            0.058836,           0.0039846,            0.048538,           0.0058531,           0.0058531,           0.0058531
                  97,            0.035465,           0.0040442,           0.0034356,             0.52553,             0.27013,             0.30096,             0.11159,            0.053279,           0.0037788,             0.05802,           0.0057826,           0.0057826,           0.0057826
                  98,            0.035558,           0.0039477,            0.002719,             0.52944,             0.51601,             0.45082,              0.1334,            0.053316,           0.0038901,            0.043619,            0.005712,            0.005712,            0.005712
                  99,            0.034549,           0.0040081,           0.0031502,             0.51326,             0.40941,             0.41977,             0.15198,            0.047676,           0.0039155,            0.051987,           0.0056413,           0.0056413,           0.0056413
                 100,            0.034912,           0.0040425,           0.0029376,              0.6053,              0.4523,             0.52914,             0.16574,            0.047464,           0.0039098,            0.050718,           0.0055707,           0.0055707,           0.0055707
                 101,            0.034219,           0.0039733,           0.0027771,             0.43701,             0.39351,             0.35455,             0.12842,            0.049753,           0.0038489,            0.047621,              0.0055,              0.0055,              0.0055
                 102,            0.034657,            0.003991,           0.0025173,             0.33989,             0.44732,             0.30089,            0.093826,             0.05354,           0.0041461,             0.05146,           0.0054293,           0.0054293,           0.0054293
                 103,             0.03418,           0.0038609,           0.0027249,             0.52939,             0.50471,             0.41096,             0.15331,            0.050148,           0.0040498,            0.053247,           0.0053587,           0.0053587,           0.0053587
                 104,            0.033171,           0.0038756,           0.0023173,             0.63315,             0.45294,             0.48021,             0.14627,            0.050177,           0.0040415,            0.046424,            0.005288,            0.005288,            0.005288
                 105,            0.033946,           0.0039127,           0.0025374,             0.53124,             0.37688,             0.37168,              0.1065,            0.053223,           0.0037501,             0.04307,           0.0052174,           0.0052174,           0.0052174
                 106,            0.033549,           0.0038735,           0.0023102,             0.57647,             0.46235,             0.49408,             0.15621,            0.057417,           0.0039529,            0.046914,           0.0051469,           0.0051469,           0.0051469
                 107,            0.034549,           0.0039377,           0.0025118,             0.55899,             0.29882,             0.33012,             0.11662,            0.059813,           0.0038724,            0.050427,           0.0050765,           0.0050765,           0.0050765
                 108,            0.034397,           0.0038679,           0.0020068,             0.58205,             0.43878,             0.44145,             0.15485,            0.057544,           0.0037689,            0.042509,           0.0050062,           0.0050062,           0.0050062
                 109,            0.033696,           0.0039183,           0.0026161,             0.67689,             0.41176,             0.51817,             0.20453,            0.042767,           0.0038918,            0.051401,            0.004936,            0.004936,            0.004936
                 110,            0.034235,           0.0038261,           0.0021842,             0.59645,             0.36737,             0.39561,             0.14335,            0.046083,           0.0038631,            0.051696,           0.0048659,           0.0048659,           0.0048659
                 111,            0.033717,           0.0038796,           0.0019619,             0.49213,                 0.5,             0.50398,             0.18027,            0.047408,           0.0037114,            0.043433,            0.004796,            0.004796,            0.004796
                 112,            0.033148,           0.0039252,           0.0018321,             0.55174,             0.47927,             0.50675,             0.17493,            0.046881,           0.0039155,            0.052613,           0.0047263,           0.0047263,           0.0047263
                 113,            0.032774,           0.0038556,           0.0018771,             0.68541,             0.48706,             0.57251,             0.21937,             0.04394,           0.0038991,            0.049389,           0.0046568,           0.0046568,           0.0046568
                 114,            0.032535,           0.0038128,           0.0019414,             0.48535,             0.45489,             0.45189,             0.15001,            0.047686,           0.0037317,            0.053028,           0.0045875,           0.0045875,           0.0045875
                 115,            0.032347,             0.00379,           0.0018936,             0.44891,             0.28353,              0.3281,             0.09016,            0.059471,           0.0039856,            0.055034,           0.0045184,           0.0045184,           0.0045184
                 116,            0.033374,           0.0038512,           0.0023539,              0.3762,             0.62034,             0.47364,             0.14438,            0.053695,           0.0038644,            0.052945,           0.0044495,           0.0044495,           0.0044495
                 117,            0.035324,           0.0038598,           0.0017859,             0.48704,             0.45616,             0.46956,             0.16697,             0.04578,           0.0037531,             0.05685,           0.0043809,           0.0043809,           0.0043809
                 118,             0.03397,            0.003905,           0.0017902,             0.61323,             0.44807,             0.52002,             0.19555,             0.04506,           0.0037871,            0.048156,           0.0043126,           0.0043126,           0.0043126
                 119,            0.032259,            0.003812,           0.0017916,             0.45928,              0.4604,             0.44108,             0.15681,            0.048858,           0.0037436,            0.063368,           0.0042445,           0.0042445,           0.0042445
                 120,            0.031672,            0.003792,           0.0016305,              0.6195,             0.54235,             0.54934,              0.1853,            0.048436,           0.0038697,            0.048178,           0.0041768,           0.0041768,           0.0041768
                 121,            0.032908,           0.0037488,           0.0015549,             0.54154,             0.44992,             0.39431,             0.11773,            0.053448,           0.0038534,            0.052262,           0.0041094,           0.0041094,           0.0041094
                 122,             0.03251,           0.0037045,           0.0013643,             0.49084,                 0.4,             0.39625,             0.13866,            0.050681,           0.0037155,             0.05826,           0.0040424,           0.0040424,           0.0040424
                 123,             0.03282,            0.003752,           0.0014563,             0.55144,             0.46013,              0.5101,             0.18557,            0.045056,            0.003716,            0.046336,           0.0039757,           0.0039757,           0.0039757
                 124,            0.031798,           0.0036996,            0.001422,             0.57086,             0.36586,             0.42201,             0.13574,            0.053052,           0.0036999,            0.050758,           0.0039094,           0.0039094,           0.0039094
                 125,            0.033112,           0.0036757,           0.0014376,              0.5672,             0.28987,             0.30952,            0.083238,            0.060667,           0.0039392,            0.051404,           0.0038434,           0.0038434,           0.0038434
                 126,            0.031827,           0.0036323,           0.0011268,             0.58215,             0.33568,             0.33364,             0.10804,             0.05453,           0.0036833,            0.056708,           0.0037779,           0.0037779,           0.0037779
                 127,            0.031128,           0.0036387,           0.0013172,             0.58298,             0.51248,             0.54681,             0.16289,            0.052485,           0.0039457,            0.051456,           0.0037128,           0.0037128,           0.0037128
